species,body_mass_kg,trophic_guild,probability_extinction
Desmana moschata,0,insectivore,0.75
Phaner parienti,0,herbivore,0.67
Phaner pallescens,0,herbivore,0.67
Phaner electromontis,0,herbivore,0.66
Isoodon auratus,0,insectivore,0.54
Rhynchocyon cirnei,0,insectivore,0.26
Rhynchocyon petersi,0,insectivore,0.25
Uromys rex,0,herbivore,0.76
Cratogeomys fulvescens,0,herbivore,0.26
Cratogeomys merriami,0,herbivore,0.26
Cratogeomys perotensis,0,herbivore,0.25
Sundamys infraluteus,0,herbivore,0.26
Pteropus melanotus,0,herbivore,0.44
Dactylopsila trivirgata,0,insectivore,0.23
Pteralopex taki,0,herbivore,0.47
Saguinus imperator,0,herbivore,0.20
Rubrisciurus rubriventer,0,herbivore,0.51
Pteropus gilliardorum,0,herbivore,0.36
Pteropus temminckii,0,herbivore,0.45
Dobsonia moluccensis,0,herbivore,0.24
Sciurus spadiceus,0,herbivore,0.25
Mico nigriceps,0,herbivore,0.35
Ctenomys sociabilis,0,herbivore,0.92
Ctenomys azarae,0,herbivore,0.74
Phaner furcifer,0,herbivore,0.48
Ctenomys pontifex,0,herbivore,0.45
Ctenomys colburni,0,herbivore,0.45
Ctenomys brasiliensis,0,herbivore,0.44
Ctenomys sericeus,0,herbivore,0.44
Cheirogaleus crossleyi,0,herbivore,0.40
Ctenomys perrensi,0,herbivore,0.27
Callosciurus prevostii,0,herbivore,0.25
Makalata didelphoides,0,herbivore,0.26
Pteropus anetianus,0,herbivore,0.43
Solomys salebrosus,0,herbivore,0.75
Geomys personatus,0,herbivore,0.26
Bullimus bagobus,0,herbivore,0.26
Diplomys caniceps,0,herbivore,0.44
Bullimus gamay,0,herbivore,0.54
Saguinus melanoleucus,0,herbivore,0.21
Saguinus fuscicollis,0,herbivore,0.20
Mico saterei,0,herbivore,0.23
Heliosciurus mutabilis,0,herbivore,0.25
Saguinus tripartitus,0,herbivore,0.31
Bathyergus janetta,0,herbivore,0.24
Petinomys hageni,0,herbivore,0.41
Galea musteloides,0,herbivore,0.44
Mico leucippe,0,herbivore,0.50
Ctenomys steinbachi,0,herbivore,0.26
Acerodon celebensis,0,herbivore,0.45
Dactylomys peruanus,0,herbivore,0.44
Pteropus scapulatus,0,herbivore,0.21
Rattus jobiensis,0,herbivore,0.27
Metachirus nudicaudatus,0,omnivore,0.26
Mico humeralifer,0,herbivore,0.42
Dactylonax palpator,0,insectivore,0.23
Hodomys alleni,0,herbivore,0.26
Pteropus macrotis,0,herbivore,0.21
Philander mcilhennyi,0,carnivore,0.26
Ictonyx libycus,0,carnivore,0.25
Dologale dybowskii,0,insectivore,0.38
Ctenomys australis,0,herbivore,0.75
Ctenomys opimus,0,herbivore,0.25
Sundamys maxi,0,herbivore,0.54
Pteropus griseus,0,herbivore,0.36
Galea spixii,0,herbivore,0.26
Proechimys semispinosus,0,herbivore,0.26
Thomomys bulbivorus,0,herbivore,0.25
Berylmys bowersi,0,herbivore,0.26
Sundasciurus hippurus,0,herbivore,0.37
Macruromys major,0,herbivore,0.26
Mico melanurus,0,herbivore,0.23
Mico argentatus,0,herbivore,0.23
Petaurus gracilis,0,omnivore,0.66
Pteropus pohlei,0,herbivore,0.44
Paraechinus aethiopicus,0,omnivore,0.25
Caluromys lanatus,0,herbivore,0.26
Mico emiliae,0,herbivore,0.21
Microperoryctes murina,0,insectivore,0.56
Pteropus capistratus,0,herbivore,0.33
Geomys tropicalis,0,herbivore,0.74
Allactaga major,0,herbivore,0.26
Proechimys guairae,0,herbivore,0.26
Leopoldamys sabanus,0,omnivore,0.26
Heliosciurus undulatus,0,herbivore,0.42
Sundamys muelleri,0,herbivore,0.27
Pteropus faunulus,0,herbivore,0.62
Pteropus speciosus,0,herbivore,0.36
Pteropus leucopterus,0,herbivore,0.23
Mico marcai,0,herbivore,0.39
Cheirogaleus sibreei,0,herbivore,0.85
Callithrix flaviceps,0,herbivore,0.65
Callithrix aurita,0,herbivore,0.65
Callithrix kuhlii,0,herbivore,0.49
Mesechinus dauuricus,0,carnivore,0.25
Hemiechinus auritus,0,omnivore,0.25
Callithrix geoffroyi,0,herbivore,0.22
Spilogale angustifrons,0,omnivore,0.21
Callithrix penicillata,0,herbivore,0.24
Proechimys cuvieri,0,herbivore,0.27
Mico acariensis,0,herbivore,0.22
Thrichomys inermis,0,herbivore,0.26
Thrichomys pachyurus,0,herbivore,0.25
Thrichomys apereoides,0,herbivore,0.25
Hypsignathus monstrosus,0,herbivore,0.23
Leopoldamys ciliatus,0,omnivore,0.26
Pteropus ornatus,0,herbivore,0.45
Mico intermedius,0,omnivore,0.22
Sciurus vulgaris,0,herbivore,0.24
Heliosciurus rufobrachium,0,herbivore,0.25
Leporillus conditor,0,herbivore,0.39
Caluromys derbianus,0,herbivore,0.26
Paruromys dominator,0,herbivore,0.26
Philander andersoni,0,carnivore,0.26
Callosciurus inornatus,0,herbivore,0.25
Callosciurus baluensis,0,herbivore,0.24
Rattus stoicus,0,herbivore,0.54
Taeromys celebensis,0,herbivore,0.26
Pteropus pselaphon,0,herbivore,0.64
Dactylopsila megalura,0,insectivore,0.24
Atelerix frontalis,0,omnivore,0.26
Sciurus granatensis,0,herbivore,0.24
Pteropus lylei,0,herbivore,0.43
Xerus rutilus,0,herbivore,0.25
Spalax zemni,0,herbivore,0.54
Spalax graecus,0,herbivore,0.38
Ctenomys knighti,0,herbivore,0.44
Hyosciurus ileile,0,herbivore,0.52
Proechimys guyannensis,0,herbivore,0.26
Cheirogaleus minusculus,0,herbivore,0.34
Proechimys canicollis,0,herbivore,0.27
Spilogale pygmaea,0,insectivore,0.52
Phyllomys brasiliensis,0,herbivore,0.74
Mirza coquereli,0,insectivore,0.69
Pteropus aldabrensis,0,herbivore,0.44
Pteropus samoensis,0,herbivore,0.33
Paraxerus palliatus,0,herbivore,0.24
Leopoldamys milleti,0,omnivore,0.26
Leopoldamys edwardsi,0,omnivore,0.26
Poecilogale albinucha,0,carnivore,0.27
Pteropus admiralitatum,0,herbivore,0.20
Rattus feliceus,0,herbivore,0.39
Phyllomys mantiqueirensis,0,herbivore,0.93
Phyllomys lundi,0,herbivore,0.74
Phyllomys kerri,0,herbivore,0.45
Phyllomys pattoni,0,herbivore,0.25
Rattus xanthurus,0,herbivore,0.40
Dobsonia exoleta,0,herbivore,0.23
Congosorex polli,0,insectivore,0.44
Pattonomys occasius,0,herbivore,0.44
Mustela itatsi,0,omnivore,0.36
Pseudochirulus canescens,0,herbivore,0.24
Congosorex verheyeni,0,insectivore,0.26
Leopoldamys neilli,0,omnivore,0.26
Eidolon dupreanum,0,herbivore,0.49
Pteropus mahaganus,0,herbivore,0.21
Taeromys callitrichus,0,herbivore,0.44
Callosciurus melanogaster,0,herbivore,0.52
Hyosciurus heinrichi,0,herbivore,0.24
Sciurus anomalus,0,herbivore,0.23
Euoticus elegantulus,0,herbivore,0.23
Setifer setosus,0,carnivore,0.25
Proechimys pattoni,0,herbivore,0.26
Proechimys gardneri,0,herbivore,0.44
Proechimys kulinae,0,herbivore,0.44
Proechimys echinothrix,0,herbivore,0.26
Isothrix sinnamariensis,0,herbivore,0.26
Heliosciurus ruwenzorii,0,herbivore,0.25
Callithrix jacchus,0,herbivore,0.23
Spermophilus citellus,0,herbivore,0.54
Spermophilus xanthoprymnus,0,herbivore,0.39
Ctenodactylus gundi,0,herbivore,0.26
Microcavia australis,0,herbivore,0.27
Neotoma cinerea,0,herbivore,0.26
Cratogeomys planiceps,0,herbivore,0.25
Ctenomys emilianus,0,herbivore,0.26
Taeromys taerae,0,herbivore,0.54
Proechimys chrysaeolus,0,herbivore,0.45
Proechimys oconnelli,0,herbivore,0.45
Proechimys hoplomyoides,0,herbivore,0.45
Proechimys mincae,0,herbivore,0.44
Proechimys decumanus,0,herbivore,0.38
Proechimys simonsi,0,herbivore,0.26
Proechimys brevicauda,0,herbivore,0.26
Proechimys quadruplicatus,0,herbivore,0.26
Proechimys goeldii,0,herbivore,0.26
Proechimys steerei,0,herbivore,0.26
Trinomys albispinus,0,herbivore,0.26
Trinomys setosus,0,herbivore,0.25
Proechimys roberti,0,herbivore,0.25
Pteropus molossinus,0,herbivore,0.46
Phyllomys medius,0,herbivore,0.26
Rattus norvegicus,0,herbivore,0.25
Cavia fulgida,0,herbivore,0.26
Pattonomys semivillosus,0,herbivore,0.26
Diplomys labilis,0,herbivore,0.26
Helogale parvula,0,insectivore,0.24
Hoplomys gymnurus,0,herbivore,0.26
Tylomys bullaris,0,herbivore,0.93
Tylomys tumbalensis,0,herbivore,0.92
Callosciurus erythraeus,0,herbivore,0.25
Ctenomys fulvus,0,herbivore,0.44
Petaurus abidi,0,omnivore,0.87
Callosciurus orestes,0,herbivore,0.25
Callosciurus finlaysonii,0,herbivore,0.25
Macruromys elegans,0,herbivore,0.44
Sciurocheirus alleni,0,herbivore,0.25
Sciurocheirus gabonensis,0,herbivore,0.25
Euoticus pallidus,0,herbivore,0.22
Funisciurus carruthersi,0,herbivore,0.24
Berylmys mackenziei,0,herbivore,0.46
Pteropus nitendiensis,0,herbivore,0.65
Taeromys arcuatus,0,herbivore,0.27
Taeromys microbullatus,0,herbivore,0.45
Olallamys albicauda,0,herbivore,0.45
Ctenomys magellanicus,0,herbivore,0.25
Callosciurus phayrei,0,herbivore,0.25
Mesembriomys macrurus,0,herbivore,0.40
Abditomys latidens,0,herbivore,0.45
Dobsonia pannietensis,0,herbivore,0.36
Heteromys australis,0,herbivore,0.25
Cratogeomys castanops,0,herbivore,0.26
Cratogeomys goldmani,0,herbivore,0.26
Neofiber alleni,0,herbivore,0.26
Ctenomys johannis,0,herbivore,0.45
Ctenomys coludo,0,herbivore,0.45
Ctenomys famosus,0,herbivore,0.45
Ctenomys tulduco,0,herbivore,0.44
Ctenomys viperinus,0,herbivore,0.44
Sciurus lis,0,herbivore,0.25
Sundasciurus mindanensis,0,herbivore,0.25
Cyclopes didactylus,0,insectivore,0.39
Mustela kathiah,0,carnivore,0.26
Thomomys townsendii,0,herbivore,0.25
Ctenomys osvaldoreigi,0,herbivore,0.93
Ctenomys roigi,0,herbivore,0.93
Ctenomys flamarioni,0,herbivore,0.75
Ctenomys pilarensis,0,herbivore,0.75
Ctenomys lami,0,herbivore,0.53
Ctenomys scagliai,0,herbivore,0.45
Ctenomys yolandae,0,herbivore,0.44
Ctenomys coyhaiquensis,0,herbivore,0.44
Ctenomys dorbignyi,0,herbivore,0.39
Callosciurus caniceps,0,herbivore,0.25
Bandicota savilei,0,herbivore,0.26
Phyllomys dasythrix,0,herbivore,0.25
Ochotona roylei,0,herbivore,0.25
Ctenomys fochi,0,herbivore,0.44
Ctenomys fodax,0,herbivore,0.44
Ctenomys juris,0,herbivore,0.44
Ctenomys goodfellowi,0,herbivore,0.26
Taeromys hamatus,0,herbivore,0.44
Myospalax psilurus,0,herbivore,0.26
Sundasciurus juvencus,0,herbivore,0.25
Funisciurus pyrropus,0,herbivore,0.25
Arctocebus calabarensis,0,insectivore,0.37
Spermophilus major,0,herbivore,0.26
Caluromysiops irrupta,0,herbivore,0.26
Eospalax fontanierii,0,herbivore,0.25
Spalax giganteus,0,herbivore,0.25
Pteropus rodricensis,0,herbivore,0.56
Pteropus lombocensis,0,herbivore,0.37
Pseudochirulus schlegeli,0,herbivore,0.52
Hylopetes alboniger,0,herbivore,0.24
Microcavia niata,0,herbivore,0.25
Spermophilus erythrogenys,0,herbivore,0.26
Eidolon helvum,0,herbivore,0.35
Loris lydekkerianus,0,insectivore,0.22
Rattus everetti,0,herbivore,0.26
Dactylopsila tatei,0,insectivore,0.71
Spermophilus suslicus,0,herbivore,0.39
Sundasciurus moellendorffi,0,herbivore,0.39
Sundasciurus steerii,0,herbivore,0.25
Callosciurus pygerythrus,0,herbivore,0.24
Pteromyscus pulverulentus,0,herbivore,0.72
Atlantoxerus getulus,0,herbivore,0.26
Mirimiri acrodonta,0,herbivore,0.86
Abrocoma bennettii,0,herbivore,0.25
Paraxerus cooperi,0,herbivore,0.43
Orthogeomys underwoodi,0,herbivore,0.26
Ochotona rutila,0,herbivore,0.26
Ochotona rufescens,0,herbivore,0.25
Anomalurus pusillus,0,herbivore,0.25
Funisciurus leucogenys,0,herbivore,0.25
Galago gallarum,0,herbivore,0.23
Sciurus deppei,0,herbivore,0.24
Callosciurus albescens,0,herbivore,0.43
Ctenomys tuconax,0,herbivore,0.43
Nectomys rattus,0,omnivore,0.26
Heliosciurus gambianus,0,herbivore,0.24
Podogymnura aureospinula,0,insectivore,0.72
Caluromys philander,0,herbivore,0.26
Paraxerus vincenti,0,herbivore,0.72
Spermophilus musicus,0,herbivore,0.39
Spermophilus brevicauda,0,herbivore,0.26
Spermophilus alashanicus,0,herbivore,0.26
Spermophilus ralli,0,herbivore,0.26
Spermophilus pallidicauda,0,herbivore,0.25
Petinomys mindanensis,0,herbivore,0.23
Neotoma floridana,0,herbivore,0.25
Sundasciurus philippinensis,0,herbivore,0.25
Loris tardigradus,0,insectivore,0.66
Ctenomys leucodon,0,herbivore,0.26
Phyllomys blainvillii,0,herbivore,0.26
Lariscus obscurus,0,herbivore,0.38
Dobsonia viridis,0,herbivore,0.24
Tylomys watsoni,0,herbivore,0.26
Paraechinus nudiventris,0,omnivore,0.26
Lundomys molitor,0,herbivore,0.26
Trinomys yonenagae,0,herbivore,0.74
Trinomys moojeni,0,herbivore,0.74
Trinomys paratus,0,herbivore,0.44
Trinomys mirapitanga,0,herbivore,0.44
Myospalax aspalax,0,herbivore,0.25
Sciurus richmondi,0,herbivore,0.38
Neotoma micropus,0,herbivore,0.26
Berylmys berdmorei,0,herbivore,0.25
Arctocebus aureus,0,insectivore,0.23
Dobsonia anderseni,0,herbivore,0.24
Isthmomys flavidus,0,omnivore,0.40
Sundasciurus hoogstraali,0,herbivore,0.25
Pteropus howensis,0,herbivore,0.37
Ctenomys validus,0,herbivore,0.44
Allactaga euphratica,0,herbivore,0.26
Rattus enganus,0,herbivore,0.45
Taeromys punicans,0,herbivore,0.45
Ctenomys saltarius,0,herbivore,0.45
Rattus mordax,0,herbivore,0.25
Petaurus norfolcensis,0,omnivore,0.23
Tamiasciurus mearnsi,0,herbivore,0.71
Mesechinus hughi,0,carnivore,0.26
Pteropus ocularis,0,herbivore,0.46
Rhinosciurus laticaudatus,0,insectivore,0.37
Neotoma phenax,0,herbivore,0.26
Callosciurus quinquestriatus,0,herbivore,0.25
Dremomys lokriah,0,herbivore,0.24
Hylopetes phayrei,0,herbivore,0.24
Dobsonia peronii,0,herbivore,0.24
Spalax uralensis,0,herbivore,0.39
Perameles bougainville,0,insectivore,0.54
Neotoma macrotis,0,herbivore,0.25
Myospalax myospalax,0,herbivore,0.26
Tamiasciurus douglasii,0,herbivore,0.25
Lyncodon patagonicus,0,carnivore,0.24
Sundasciurus samarensis,0,herbivore,0.24
Sciurus yucatanensis,0,herbivore,0.24
Pteromys momonga,0,herbivore,0.25
Dobsonia chapmani,0,herbivore,0.89
Phyllomys nigrispinus,0,herbivore,0.26
Rattus lugens,0,herbivore,0.55
Petromus typicus,0,herbivore,0.26
Fukomys zechi,0,herbivore,0.26
Paraxerus cepapi,0,herbivore,0.25
Abrocoma vaccarum,0,herbivore,0.44
Abrocoma cinerea,0,herbivore,0.25
Myoictis melas,0,omnivore,0.26
Ctenomys argentinus,0,herbivore,0.40
Trinomys eliasi,0,herbivore,0.39
Trinomys iheringi,0,herbivore,0.25
Arvicola sapidus,0,herbivore,0.54
Brachytarsomys villosa,0,herbivore,0.54
Trinomys gratiosus,0,herbivore,0.26
Carpomys melanurus,0,herbivore,0.45
Dobsonia crenulata,0,herbivore,0.23
Funisciurus anerythrus,0,herbivore,0.25
Nectomys apicalis,0,omnivore,0.27
Ctenomys tucumanus,0,herbivore,0.44
Belomys pearsonii,0,herbivore,0.43
Rattus marmosurus,0,herbivore,0.25
Tylomys panamensis,0,herbivore,0.44
Galago senegalensis,0,herbivore,0.23
Phyllomys lamarum,0,herbivore,0.44
Neotoma leucodon,0,herbivore,0.26
Ctenomys maulinus,0,herbivore,0.26
Abrocoma famatina,0,herbivore,0.44
Abrocoma budini,0,herbivore,0.44
Abrocoma shistacea,0,herbivore,0.25
Rhombomys opimus,0,herbivore,0.26
Neotoma fuscipes,0,herbivore,0.26
Paraechinus hypomelas,0,omnivore,0.26
Nesomys audeberti,0,herbivore,0.25
Tachyoryctes splendens,0,herbivore,0.26
Ctenomys pearsoni,0,herbivore,0.38
Neophascogale lorentzii,0,insectivore,0.26
Mustela felipei,0,carnivore,0.51
Pteropus fundatus,0,herbivore,0.62
Isothrix pagurus,0,herbivore,0.26
Galago matschiei,0,herbivore,0.24
Ochotona iliensis,0,herbivore,0.74
Ctenomys torquatus,0,herbivore,0.26
Mammelomys rattoides,0,herbivore,0.25
Callosciurus notatus,0,herbivore,0.24
Callosciurus adamsi,0,herbivore,0.38
Berylmys manipulus,0,herbivore,0.44
Olallamys edax,0,herbivore,0.43
Neotoma albigula,0,herbivore,0.26
Geomys arenarius,0,herbivore,0.39
Callosciurus nigrovittatus,0,herbivore,0.25
Proechimys longicaudatus,0,herbivore,0.26
Felovia vae,0,herbivore,0.26
Octodon degus,0,herbivore,0.25
Ochotona macrotis,0,herbivore,0.26
Holochilus chacarius,0,herbivore,0.26
Geomys bursarius,0,herbivore,0.26
Neotoma mexicana,0,herbivore,0.27
Maxomys hellwaldii,0,herbivore,0.26
Ctenomys bonettoi,0,herbivore,0.75
Tylomys fulviventer,0,herbivore,0.44
Tamiasciurus hudsonicus,0,herbivore,0.26
Dobsonia emersa,0,herbivore,0.51
Clyomys laticeps,0,herbivore,0.26
Petrodromus tetradactylus,0,insectivore,0.25
Octodon lunatus,0,herbivore,0.39
Dremomys gularis,0,herbivore,0.41
Dremomys rufigenis,0,herbivore,0.24
Dremomys pyrrhomerus,0,herbivore,0.24
Meriones sacramenti,0,herbivore,0.55
Brachytarsomys albicauda,0,herbivore,0.26
Rattus rattus,0,herbivore,0.26
Neotoma devia,0,herbivore,0.26
Tupaia belangeri,0,insectivore,0.26
Myoictis wallacei,0,omnivore,0.26
Fukomys ochraceocinereus,0,herbivore,0.25
Zenkerella insignis,0,carnivore,0.24
Tupaia montana,0,insectivore,0.24
Dremomys pernyi,0,herbivore,0.24
Neotoma nelsoni,0,herbivore,0.93
Neotoma angustapalata,0,herbivore,0.75
Neotoma palatina,0,herbivore,0.53
Mesocricetus brandti,0,herbivore,0.39
Neotoma goldmani,0,herbivore,0.27
Sigmodon arizonae,0,omnivore,0.27
Rattus bontanus,0,herbivore,0.44
Tupaia tana,0,insectivore,0.24
Rattus annandalei,0,herbivore,0.27
Bandicota bengalensis,0,herbivore,0.26
Cheirogaleus medius,0,herbivore,0.21
Maxomys pagensis,0,herbivore,0.53
Batomys dentatus,0,herbivore,0.45
Sundasciurus rabori,0,herbivore,0.43
Sundasciurus davensis,0,herbivore,0.43
Sigmodon fulviventer,0,omnivore,0.26
Geomys pinetis,0,herbivore,0.26
Rattus praetor,0,herbivore,0.26
Massoutiera mzabi,0,herbivore,0.26
Rattus villosissimus,0,herbivore,0.26
Phascogale tapoatafa,0,carnivore,0.40
Menetes berdmorei,0,herbivore,0.25
Ctenomys porteousi,0,herbivore,0.39
Ctenomys latro,0,herbivore,0.74
Nectomys squamipes,0,omnivore,0.26
Lariscus niobe,0,herbivore,0.42
Sciurus ignitus,0,herbivore,0.24
Geomys texensis,0,herbivore,0.25
Georychus capensis,0,herbivore,0.27
Abrocoma uspallata,0,herbivore,0.44
Ochotona koslowi,0,herbivore,0.75
Euryzygomatomys spinosus,0,herbivore,0.26
Octodon pacificus,0,herbivore,0.92
Prosciurillus leucomus,0,herbivore,0.25
Rhynchomys soricoides,0,insectivore,0.40
Batomys salomonseni,0,herbivore,0.26
Funisciurus substriatus,0,herbivore,0.43
Microcavia shiptoni,0,herbivore,0.39
Pteropus pumilus,0,herbivore,0.32
Tylomys mirae,0,herbivore,0.26
Carpomys phaeurus,0,herbivore,0.26
Batomys russatus,0,herbivore,0.74
Neotoma bryanti,0,herbivore,0.26
Ochotona gloveri,0,herbivore,0.25
Tylomys nudicaudus,0,herbivore,0.25
Hylopetes winstoni,0,herbivore,0.42
Ochotona erythrotis,0,herbivore,0.26
Eospalax rothschildi,0,herbivore,0.25
Rattus tawitawiensis,0,herbivore,0.44
Lariscus hosei,0,herbivore,0.25
Galago moholi,0,herbivore,0.24
Dobsonia praedatrix,0,herbivore,0.24
Ctenomys bergi,0,herbivore,0.75
Ctenomys pundti,0,herbivore,0.74
Ctenomys mendocinus,0,herbivore,0.26
Nesokia indica,0,herbivore,0.26
Tokudaia muenninki,0,herbivore,0.93
Sciurus aestuans,0,herbivore,0.25
Neopteryx frosti,0,herbivore,0.66
Prosciurillus weberi,0,herbivore,0.72
Mustela altaica,0,carnivore,0.36
Eospalax smithii,0,herbivore,0.26
Ctenodactylus vali,0,herbivore,0.45
Mesomys hispidus,0,herbivore,0.27
Lariscus insignis,0,herbivore,0.25
Sigmodon alleni,0,omnivore,0.53
Heliosciurus punctatus,0,herbivore,0.43
Ctenomys frater,0,herbivore,0.26
Geomys knoxjonesi,0,herbivore,0.26
Styloctenium wallacei,0,herbivore,0.34
Rattus leucopus,0,herbivore,0.26
Vampyrum spectrum,0,carnivore,0.34
Paraechinus micropus,0,omnivore,0.26
Mustela frenata,0,carnivore,0.26
Tupaia nicobarica,0,insectivore,0.71
Bunomys penitus,0,insectivore,0.26
Chinchillula sahamae,0,herbivore,0.26
Pectinator spekei,0,herbivore,0.26
Batomys granti,0,herbivore,0.26
Neotoma chrysomelas,0,herbivore,0.26
Cheiromeles torquatus,0,insectivore,0.22
Cheiromeles parvidens,0,insectivore,0.22
Prosciurillus rosenbergii,0,herbivore,0.25
Crossomys moncktoni,0,insectivore,0.26
Phascolosorex doriae,0,insectivore,0.26
Echiothrix centrosa,0,insectivore,0.54
Tupaia dorsalis,0,insectivore,0.42
Tupaia splendidula,0,insectivore,0.25
Tupaia picta,0,insectivore,0.25
Tupaia longipes,0,insectivore,0.24
Tupaia palawanensis,0,insectivore,0.24
Tarsius tarsier,0,insectivore,0.53
Trinomys dimidiatus,0,herbivore,0.25
Echinops telfairi,0,insectivore,0.24
Galagoides granti,0,insectivore,0.34
Ctenomys dorsalis,0,herbivore,0.45
Rattus argentiventer,0,herbivore,0.26
Dobsonia beauforti,0,herbivore,0.24
Tarsius sangirensis,0,insectivore,0.69
Tarsius pelengensis,0,insectivore,0.67
Rattus hoogerwerfi,0,herbivore,0.54
Echiothrix leucura,0,insectivore,0.74
Ctenomys haigi,0,herbivore,0.25
Nesomys rufus,0,herbivore,0.26
Rattus pelurus,0,herbivore,0.44
Prosciurillus abstrusus,0,herbivore,0.43
Ochotona ladacensis,0,herbivore,0.25
Octodon bridgesi,0,herbivore,0.54
Fukomys foxi,0,herbivore,0.43
Spermophilus dauricus,0,herbivore,0.26
Ammospermophilus nelsoni,0,herbivore,0.75
Galagoides cocos,0,herbivore,0.34
Anathana ellioti,0,insectivore,0.25
Paraxerus flavovittis,0,herbivore,0.25
Prosciurillus murinus,0,herbivore,0.24
Sigmodon toltecus,0,omnivore,0.25
Conilurus penicillatus,0,herbivore,0.54
Heliophobius argenteocinereus,0,herbivore,0.25
Pogonomelomys bruijnii,0,herbivore,0.26
Tupaia chrysogaster,0,insectivore,0.52
Allactaga severtzovi,0,herbivore,0.26
Tupaia glis,0,insectivore,0.26
Maxomys ochraceiventer,0,herbivore,0.44
Maxomys baeodon,0,herbivore,0.44
Maxomys alticola,0,herbivore,0.26
Maxomys panglima,0,herbivore,0.26
Rattus timorensis,0,herbivore,0.45
Abrocoma boliviensis,0,herbivore,0.92
Microperoryctes papuensis,0,insectivore,0.26
Ochotona princeps,0,herbivore,0.26
Rattus sordidus,0,herbivore,0.25
Rattus adustus,0,herbivore,0.44
Phascogale pirata,0,carnivore,0.54
Rattus mindorensis,0,herbivore,0.26
Rattus giluwensis,0,herbivore,0.25
Nectomys palmipes,0,omnivore,0.26
Octodontomys gliroides,0,herbivore,0.26
Iomys sipora,0,herbivore,0.71
Iomys horsfieldii,0,herbivore,0.25
Nesomys lambertoni,0,herbivore,0.75
Holochilus brasiliensis,0,herbivore,0.27
Rattus koopmani,0,herbivore,0.45
Rattus salocco,0,herbivore,0.45
Rattus steini,0,herbivore,0.26
Dobsonia inermis,0,herbivore,0.23
Maxomys inflatus,0,herbivore,0.55
Chrotomys mindorensis,0,herbivore,0.26
Chrotomys whiteheadi,0,herbivore,0.26
Pseudochirulus mayeri,0,herbivore,0.24
Pteropus vetulus,0,herbivore,0.47
Maxomys surifer,0,herbivore,0.26
Ctenomys occultus,0,herbivore,0.75
Ochotona hoffmanni,0,herbivore,0.75
Maxomys rajah,0,herbivore,0.54
Pappogeomys bulleri,0,herbivore,0.26
Meriones vinogradovi,0,herbivore,0.26
Cratogeomys fumosus,0,herbivore,0.26
Paramelomys lorentzii,0,herbivore,0.26
Ochotona alpina,0,herbivore,0.26
Lenothrix canus,0,herbivore,0.25
Rattus satarae,0,herbivore,0.55
Rattus blangorum,0,herbivore,0.44
Rattus andamanensis,0,herbivore,0.27
Psammomys obesus,0,herbivore,0.25
Neotoma stephensi,0,herbivore,0.26
Uromys hadrourus,0,herbivore,0.39
Rattus morotaiensis,0,herbivore,0.26
Glaucomys sabrinus,0,herbivore,0.24
Galagoides zanzibaricus,0,insectivore,0.34
Millardia kondana,0,herbivore,0.75
Maxomys wattsi,0,herbivore,0.74
Rattus hoffmanni,0,herbivore,0.27
Maxomys moi,0,herbivore,0.26
Niviventer andersoni,0,herbivore,0.25
Hylopetes bartelsi,0,herbivore,0.42
Rattus colletti,0,herbivore,0.26
Scapteromys aquaticus,0,insectivore,0.26
Scapteromys tumidus,0,insectivore,0.25
Otomys laminatus,0,herbivore,0.40
Melomys matambuai,0,herbivore,0.75
Santamartamys rufodorsalis,0,herbivore,0.92
Geomys attwateri,0,herbivore,0.26
Stenocephalemys albocaudata,0,insectivore,0.26
Neotoma lepida,0,herbivore,0.26
Pteromys volans,0,herbivore,0.25
Rattus pyctoris,0,herbivore,0.26
Rattus simalurensis,0,herbivore,0.75
Ochotona pusilla,0,herbivore,0.26
Ochotona argentata,0,herbivore,0.75
Komodomys rintjanus,0,herbivore,0.54
Hydromys hussoni,0,omnivore,0.44
Scapanus townsendii,0,insectivore,0.26
Rattus tunneyi,0,herbivore,0.26
Baiyankamys shawmayeri,0,omnivore,0.27
Hemiechinus collaris,0,omnivore,0.26
Funisciurus lemniscatus,0,herbivore,0.25
Funambulus layardi,0,herbivore,0.51
Rattus tanezumi,0,herbivore,0.26
Sigmodon inopinatus,0,omnivore,0.54
Chrotomys gonzalesi,0,herbivore,0.39
Rattus burrus,0,herbivore,0.75
Galagoides rondoensis,0,omnivore,0.35
Tatera indica,0,herbivore,0.26
Lonchothrix emiliae,0,herbivore,0.26
Jaculus orientalis,0,herbivore,0.26
Isthmomys pirrensis,0,omnivore,0.27
Kadarsanomys sodyi,0,herbivore,0.76
Tryphomys adustus,0,herbivore,0.45
Geomys breviceps,0,herbivore,0.26
Funambulus palmarum,0,herbivore,0.25
Baiyankamys habbema,0,omnivore,0.45
Rattus montanus,0,herbivore,0.75
Sciurus sanborni,0,herbivore,0.43
Spermophilus pygmaeus,0,herbivore,0.25
Epomops buettikoferi,0,herbivore,0.25
Harpyionycteris whiteheadi,0,herbivore,0.25
Ochotona turuchanensis,0,herbivore,0.25
Funisciurus bayonii,0,herbivore,0.42
Fukomys damarensis,0,herbivore,0.24
Funambulus tristriatus,0,herbivore,0.25
Hemicentetes semispinosus,0,insectivore,0.26
Rousettus aegyptiacus,0,herbivore,0.22
Phyllostomus latifolius,0,insectivore,0.22
