CURRENT_TAXONOMIC_NAME,Ecoregion,meanLat,Realm,TrophicGrp,TrophicGrp,Lmax,meanN
Parupeneus multifasciatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,35,2.2
Pentapodus paradiseus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,1
Pentapodus porosus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,27,2
Plagiotremus rhinorhynchos,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Cleaner,Benthic carnivore,12,1
Plagiotremus tapeinosoma,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Cleaner,Benthic carnivore,14,1.5
Platax batavianus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,65,1.833333333
Platax pinnatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,45,1
Platax teira,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,70,1
Plectorhinchus caeruleonothus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,100,2.578947368
Plectorhinchus chaetodonoides,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,72,1.222222222
Plectorhinchus gibbosus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,75,1
Plectorhinchus multivittatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,50,2.823529412
Plectorhinchus polytaenia,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,50,2.222222222
Plectorhinchus vittatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,72,1
Plectroglyphidodon dickii,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,11,1.333333333
Plectroglyphidodon johnstonianus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,2.888888889
Pomacanthus sexstriatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,46,1.544642857
Pristiapogon fraenatus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1.5
Psammoperca waigiensis,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,47,1.8
Pseudocheilinus hexataenia,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1.375
Pseudochromis fuscus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1.1875
Pseudochromis wilsoni,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,8,1
Pseudodax moluccanus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,1
Pterapogon mirifica,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10.15,3
Pygoplites diacanthus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,25,1
Rhabdamia gracilis,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,6,1250
Sargocentron caudimaculatum,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,25,1
Sargocentron rubrum,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,32,2.666666667
Scaevius milii,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,4
Scolopsis bilineata,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,23,1.375
Scolopsis lineata,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,23,3
Scolopsis margaritifer,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,28,1
Scolopsis monogramma,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,31,1.434782609
Scolopsis xenochrous,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,21,2
Stethojulis bandanensis,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,9.444444444
Stethojulis interrupta,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,13,3.714285714
Stethojulis trilineata,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,1
Sufflamen chrysopterum,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,1
Sufflamen fraenatum,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,38,1
Taeniura lymma,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,35,1
Thalassoma hardwicke,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,1
Thalassoma jansenii,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,1.222222222
Thalassoma lunare,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,25,3.008264463
Trachinotus baillonii,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,60,3
Upeneus tragula,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,2.4
Valenciennea alleni,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,7.4,2
Valenciennea muralis,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,16,3
Valenciennea puellaris,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,1
Valenciennea strigata,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,1.25
Zanclus cornutus,Bonaparte Coast,-13.7262808,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,23,2.057142857
Acanthopagrus australis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,66,3.308016878
Achoerodus viridis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,100,1.569899666
Afurcagobius tamarensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,11,8.119047619
Amphichaetodon howensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1.25
Anampses caeruleopunctatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,42,1.75
Anampses femininus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,24,1
Anampses neoguinaicus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1
Anoplocapros inermis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,37,1.333333333
Aploactisoma milesii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,23,1
Apogon doederleini,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,4
Apogon limenus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,3.627388535
Aptychotrema rostrata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,120,1
Aracana aurita,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,1
Aracana ornata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,2
Arenigobius bifrenatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,18,1.875
Arothron stellatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,120,1
Aspasmogaster costata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,5,1.571428571
Aspasmogaster liorhyncha,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,4.5,1
Aspasmogaster tasmaniensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,8,1.466666667
Asymbolus analis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,90,1
Atypichthys latus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,20.625
Austrolabrus maculatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,17,1.298701299
Bathygobius krefftii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,1.2
Bovichtus angustifrons,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,28,1.6
Cantherhines pardalis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,1
Centropogon australis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,11.95348837
Chaetodon auriga,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,23,1
Chaetodon flavirostris,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,20,1
Chaetodon guentheri,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,22,1.083333333
Chaetodon kleinii,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,15,1
Chaetodon melannotus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,18,1
Chaetodon tricinctus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1.5
Chaetodon trifascialis,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,18,1.75
Cheilio inermis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,50,1
Cheilodactylus ephippium,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,55,1
Cheilodactylus fuscus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,65,1.937733832
Cheilodactylus nigripes,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,41,1.43387471
Cheilodactylus spectabilis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,100,2.042391304
Cheilodactylus vestitus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,35,1.051282051
Chelmonops truncatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,1.569124424
Chironemus georgianus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1.2
Chironemus marmoratus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,2.042529989
Choerodon fasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,1
Choerodon jordani,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,17,1
Cirrhitichthys aprinus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,13,1.111111111
Cleidopus gloriamaris,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,28,2
Cnidoglanis macrocephalus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,91,1.148148148
Cochleoceps orientalis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,5.5,1.352941176
Coris aurilineata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,1
Coris bulbifrons,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,95,1
Coris dorsomacula,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1.047619048
Coris gaimard,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1
Coris picta,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,1.685459941
Coris sandeyeri,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,1.336065574
Cristiceps argyropleura,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,18,1
Cristiceps aurantiacus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,1.05
Cristiceps australis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,23,1
Dactylophora nigricans,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,120,1
Dasyatis thetidis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,400,1.117647059
Dicotylichthys punctulatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,43,1.25
Diodon nicthemerus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.169642857
Dipturus whitleyi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,170,1
Dotalabrus aurantiacus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1.5
Enneapterygius atrogulare,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,5,1.909090909
Enneapterygius rufopileus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,3.6,3.25
Enoplosus armatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,50,5.327365729
Eocallionymus papilio,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,13,1.38028169
Epinephelus fasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1
Eupetrichthys angustipes,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1.646666667
Favonigobius lateralis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9,3.5
Festucalex cinctus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,16,1
Foetorepus calauropomus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,35,2
Forcipiger flavissimus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,1
Gerres subfasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,5.434782609
Glyptauchen panduratus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1
Gymnapistes marmoratus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,23,1
Gymnothorax prasinus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,97,1.119363395
Gymnothorax thrysoideus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,66,1
Halichoeres hartzfeldii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,18,1.75
Halichoeres nebulosus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,3.538461538
Heraldia nocturna,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9.2,2.75
Heteroclinus adelaidae,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9,1
Heteroclinus heptaeolus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,10,1
Heteroclinus johnstoni,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1
Heteroclinus nasutus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9,1
Heteroclinus perspicillatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1.1
Heteroclinus roseus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1.352941176
Heteroclinus whiteleggii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,10,1.606060606
Heteroclinus wilsoni,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,1.25
Heterodontus galeatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,152,1
Heterodontus portusjacksoni,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,165,1.847826087
Hippocampus abdominalis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,35,2.75
Hippocampus bleekeri,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,2.767123288
Hologymnosus doliatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,50,2
Hypnos monopterygius,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,70,1
Hypoplectrodes annulatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,1.076923077
Hypoplectrodes maccullochi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,45,2.456368564
Hypoplectrodes nigroruber,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,1.094240838
Labrichthys unilineatus,Cape Howe,-36.13183829,Temperate Australasia,Corallivore,Benthic carnivore,17.5,1
Labroides dimidiatus,Cape Howe,-36.13183829,Temperate Australasia,Cleaner,Benthic carnivore,14,1.3
Lactoria cornuta,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,46,1
Latridopsis forsteri,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,65,1.555984556
Leptojulis cyanopleura,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,13,2.5
Limnichthys fasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,5,19.33870968
Macropharyngodon meleagris,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,3.5
Macropharyngodon negrosensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,1.75
Maxillicosta scabriceps,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,1
Meuschenia scaber,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,31,1.134615385
Monodactylus argenteus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,27,5.571428571
Myliobatis australis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,241,1.04
Myxus elongatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1
Nemadactylus douglasii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,74,1.268656716
Nemadactylus macropterus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,70,1.875
Nemadactylus valenciennesi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,90,1
Neosebastes scorpaenoides,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.1
Neosynchiropus ocellatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,1.4
Nesogobius maccullochi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9,1.5
Notolabrus fucicola,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,2.769005848
Notolabrus gymnogenis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,49,1.799883991
Notolabrus tetricus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,50,2.883506344
Ophthalmolepis lineolatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,41,2.337918923
Optivus agastos,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,4.357142857
Ostorhinchus aureus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14.5,2.058823529
Ostorhinchus nigrofasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,11,3
Ostorhinchus properuptus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,9,1
Ostracion cubicus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,45,1
Oxycheilinus bimaculatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1
Parapercis australis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,24,1
Parapercis ramsayi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,1
Paraplesiops bleekeri,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.057142857
Parapriacanthus elongatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,25.25
Parequula melbournensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,1.495652174
Parupeneus barberinus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,60,1
Parupeneus ciliatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,38,3.529411765
Parupeneus multifasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,35,2.470588235
Parupeneus pleurostigma,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,33,1.666666667
Parupeneus spilurus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,47,4.856007944
Pelates quadrilineatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,2
Pelates sexlineatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,17.82142857
Pempheris affinis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,17,10.99102692
Pempheris analis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,6.55
Pempheris compressa,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,20,20.58327574
Pempheris multiradiata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,28,10.54327335
Pentaceropsis recurvirostris,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,61,1.266666667
Pentapodus paradiseus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,3
Pictilabrus laticlavius,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,1.523452158
Plagiotremus laudandus,Cape Howe,-36.13183829,Temperate Australasia,Cleaner,Benthic carnivore,8,1
Plagiotremus rhinorhynchos,Cape Howe,-36.13183829,Temperate Australasia,Cleaner,Benthic carnivore,12,1.227272727
Plagiotremus tapeinosoma,Cape Howe,-36.13183829,Temperate Australasia,Cleaner,Benthic carnivore,14,1.477124183
Platax teira,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,70,2
Priolepis cincta,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,7,1
Pseudaphritis urvillii,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,36,1
Pseudocaranx georgianus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,55,18.94147583
Pseudojuloides elongatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,1.333333333
Pseudolabrus guentheri,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,18,1.229411765
Pseudolabrus luculentus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,1.3359375
Pseudophycis barbata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,63,1
Rhabdosargus sarba,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,80,8.611111111
Scolopsis bilineata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,23,1
Scorpaena cardinalis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.183794466
Scorpaena jacksoniensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.071428571
Scorpaena papillosa,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,36,1.259259259
Sillago ciliata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,51,1.333333333
Siphamia cephalotes,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,6,16.78571429
Stethojulis bandanensis,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1.571428571
Stethojulis interrupta,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,13,2.803088803
Stethojulis strigiventer,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,1.333333333
Suezichthys arquatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,13.5,1.533333333
Suezichthys aylingi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,12,1.142857143
Suezichthys devisi,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,1.2
Terapon jarbua,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,36,1.666666667
Tetractenos glaber,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,16,1.695652174
Tetractenos hamiltoni,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,14,1.25
Thalassoma lunare,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,25,5.395348837
Thalassoma lutescens,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,30,1.666666667
Tilodon sexfasciatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,40,1.357142857
Torquigener pleurogramma,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,22,1.833333333
Torquigener squamicauda,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,3
Trachinops caudimaculatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,15,46.87407407
Trachinops taeniatus,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,10,68.14182073
Trinorfolkia clarkei,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,8,1.673529412
Trygonoptera imitata,Cape Howe,-36.13183829,Temperate Australasia,Benthic invertivore,Benthic carnivore,80,13.03030303
