"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Carnivora","Lycyaena chaeretis",10.5964966,"carnivore",10.154,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Lyncodon patagonicus",5.4160959577501,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Lynx canadensis",9.18752988900057,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Lynx issiodorensis",10.30867346,"carnivore",4.466,1.3,"Pliocene","Pleistocene","lyons"
"Carnivora","Lynx longignathus",9.602554891,"carnivore",9.7,9.7,"Miocene","Miocene","lyons"
"Carnivora","Lynx lynx",9.79534539391642,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Lynx pardinus",9.14846496825809,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Lynx pardinus",9.141262819,"carnivore",1.6845,1.6845,"Pleistocene","Pleistocene","lyons"
"Carnivora","Lynx proterolyncis",9.238132309,"carnivore",8.4,8.1,"Miocene","Miocene","lyons"
"Carnivora","Lynx rufus",8.95888585424598,"carnivore",3.6,0,"Pliocene","Holocene","lyons, mom"
"Carnivora","Machairodus alberdiae",11.51292546,"carnivore",10.154,10.154,"Miocene","Miocene","lyons"
"Carnivora","Machairodus aphanistus",12.30040957,"carnivore",14.181,4.466,"Miocene","Pliocene","lyons"
"Carnivora","Magericyon anceps",11.91818044,"carnivore",10.154,9.2,"Miocene","Miocene","lyons"
"Carnivora","Mammacyon obtusidens",11.16,"carnivore",21.75,21.75,"Miocene","Miocene","lyons"
"Carnivora","Martes americana",7.13089883029635,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes andersoni",7.313010255,"omnivore",7.016,7.016,"Miocene","Miocene","lyons"
"Carnivora","Martes burdigaliensis",6.907755279,"omnivore",16.435,15.804,"Miocene","Miocene","lyons"
"Carnivora","Martes cadeoti",6.55085459,"omnivore",15.804,15.804,"Miocene","Miocene","lyons"
"Carnivora","Martes collongensis",7.089659501,"omnivore",15.804,15.804,"Miocene","Miocene","lyons"
"Carnivora","Martes delphinensis",5.991326412,"omnivore",15.804,11.925,"Miocene","Miocene","lyons"
"Carnivora","Martes filholi",7.695239381,"omnivore",15.804,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Martes flavigula",7.82404601085629,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes foina",7.34005704104386,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes foina",7.958576904,"omnivore",1.3,0.3965,"Pleistocene","Pleistocene","lyons"
"Carnivora","Martes foxi",5.088672403,"omnivore",3.5,3.5,"Pliocene","Pliocene","lyons"
"Carnivora","Martes gwatkinsii",7.62217459481762,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes kinseyi",8.492713832,"omnivore",15.85,15.85,"Miocene","Miocene","lyons"
"Carnivora","Martes martes",7.17011954344963,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes melampus",6.90775527898214,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes mellibulla",8.006088368,"omnivore",10.4,10.4,"Miocene","Miocene","lyons"
"Carnivora","Martes munki",7.377482638,"omnivore",16.435,10.4,"Miocene","Miocene","lyons"
"Carnivora","Martes parviloba",8.36722376,"omnivore",13,13,"Miocene","Miocene","lyons"
"Carnivora","Martes pennanti",8.29404964010203,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martes sainjoni",7.741291083,"omnivore",16.435,16.435,"Miocene","Miocene","lyons"
"Carnivora","Martes sansaniensis",8.699166481,"omnivore",14.81,8.225,"Miocene","Miocene","lyons"
"Carnivora","Martes stirtoni",5.835076255,"omnivore",11.8,11.8,"Miocene","Miocene","lyons"
"Carnivora","Martes woodwardi",8.16036157,"omnivore",3.96,3.96,"Pliocene","Pliocene","lyons"
"Carnivora","Martes zibellina",7.02997291170639,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Martinogale alveodens",5.406960334,"omnivore",9.15,7.15,"Miocene","Miocene","lyons"
"Carnivora","Megalictis ferox",9.167071737,"omnivore",23.5,20.2,"Oligocene","Miocene","lyons"
"Carnivora","Megalictis frazieri",9.689,"omnivore",21.75,21.75,"Miocene","Miocene","lyons"
"Carnivora","Megantereon cultridens",11.05010586,"carnivore",3.96,1.6845,"Pliocene","Pleistocene","lyons"
"Carnivora","Megantereon hesperus",10.91739447,"carnivore",7.6,3.5,"Miocene","Pliocene","lyons"
"Carnivora","Megantereon nihowanensis",11.08003947,"carnivore",1.3,1.3,"Pleistocene","Pleistocene","lyons"
"Carnivora","Meles iberica",9.210340372,"omnivore",1.6845,1.6845,"Pleistocene","Pleistocene","lyons"
"Carnivora","Meles meles",9.47270463644367,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Meles thorali",9.680067731,"omnivore",2.672,2.197,"Pliocene","Pleistocene","lyons"
"Carnivora","Mellivora benfieldi",8.293911505,"omnivore",7.604,7.604,"Miocene","Miocene","lyons"
"Carnivora","Mellivora capensis",8.98719682066197,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mellivora capensis",9.10497985631836,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Melogale moschata",6.84428285602656,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Melogale personata",7.43985303802367,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Melursus ursinus",11.5129254649702,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Melursus ursinus",11.3651212702018,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mephitis macroura",6.68617800042211,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mephitis mephitis",7.76076662345061,"omnivore",3.5,0,"Pliocene","Holocene","lyons, mom"
"Carnivora","Mesocyon brachyops",9.1955,"omnivore",30.75,25.55,"Oligocene","Oligocene","lyons"
"Carnivora","Mesocyon coryphaeus",9.437253684,"omnivore",28.95,25.615,"Oligocene","Oligocene","lyons"
"Carnivora","Mesocyon temnodon",8.94491037,"omnivore",33.2,24.4,"Oligocene","Oligocene","lyons"
"Carnivora","Mesomephitis medius",6.214677166,"omnivore",10.4,10.4,"Miocene","Miocene","lyons"
"Carnivora","Metailurus major",11.28957471,"carnivore",8.725,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Metailurus parvulus",10.54583973,"carnivore",9.427,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Metatomarctus canavus",9.487814592,"omnivore",21.7,17.375,"Miocene","Miocene","lyons"
"Carnivora","Miacis deutschi",6.494,"carnivore",55.6,54.9,"Eocene","Eocene","lyons"
"Carnivora","Miacis exiguus",6.884,"carnivore",55.7,50.9375,"Eocene","Eocene","lyons"
"Carnivora","Miacis hookwayi",7.2735,"carnivore",43.05,40.9,"Eocene","Eocene","lyons"
"Carnivora","Miacis latidens",7.235,"carnivore",53.8,50.9375,"Eocene","Eocene","lyons"
"Carnivora","Miacis parvivorus",7.486,"carnivore",52.1,46.45,"Eocene","Eocene","lyons"
"Carnivora","Miacis petilus",6.934,"carnivore",54.3,53.4,"Eocene","Eocene","lyons"
"Carnivora","Microtomarctus conferta",9.180798536,"omnivore",16.65,13.1,"Miocene","Miocene","lyons"
"Carnivora","Miocyon magnus",10.57821197,"omnivore",42.3,42.3,"Eocene","Eocene","lyons"
"Carnivora","Miocyon major",7.607,"omnivore",50.45,48.95,"Eocene","Eocene","lyons"
"Carnivora","Miocyon scotti",9.376,"omnivore",46.85,41.55,"Eocene","Eocene","lyons"
"Carnivora","Miomustela madisonae",5.143171852,"omnivore",13.2,13,"Miocene","Miocene","lyons"
"Carnivora","Mionictis angustidens",8.551,"omnivore",11.8,11.8,"Miocene","Miocene","lyons"
"Carnivora","Mionictis artenensis",8.293911505,"omnivore",16.435,16.435,"Miocene","Miocene","lyons"
"Carnivora","Mionictis dubia",9.304746361,"omnivore",13.789,13.789,"Miocene","Miocene","lyons"
"Carnivora","Mionictis letifer",6.471,"omnivore",17.1,17.1,"Miocene","Miocene","lyons"
"Carnivora","Mionictis pristinus",9.922240393,"omnivore",13,11.9,"Miocene","Miocene","lyons"
"Carnivora","Miracinonyx inexpectatus",10.8342098,"carnivore",2.95,0.069,"Pliocene","Pleistocene","lyons"
"Carnivora","Miracinonyx studeri",10.44648449,"carnivore",4.2,0.069,"Pliocene","Pleistocene","lyons"
"Carnivora","Miracinonyx trumani",11.3850920934603,"carnivore",2.58,0.011,"Pleistocene","Holocene","mom"
"Carnivora","Mirounga leonina",15.12167887,"carnivore",1.3,0.006,"Pleistocene","Holocene","lyons"
"Carnivora","Mungos gambianus",7.3132203870903,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mungos mungo",7.56267968827911,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela africana",6.28598878347855,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela altaica",5.14166355650266,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela erminea",5.12841832975264,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela erminea",4.01174762102468,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Mustela felipei",5.35327892462201,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela frenata",4.64371969473834,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Mustela frenata",4.99043938947669,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela jacksoni",6.675194185,"omnivore",0.1,0.1,"Pleistocene","Pleistocene","lyons"
"Carnivora","Mustela kathiah",5.33793703856818,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela lutreola",6.08677472691231,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela meltoni",6.122,"omnivore",3.5,3.5,"Pliocene","Pliocene","lyons"
"Carnivora","Mustela nigripes",6.13261935121139,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Mustela nivalis",5.23377351206291,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela nivalis",4.34704691577786,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela nivalis",2.54900883772612,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Mustela nudipes",6.21460809842219,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela putorius",7.00305909512985,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela putorius",6.59407140399136,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela rexroadensis",4.856405501,"omnivore",7.25,2.5,"Miocene","Pleistocene","lyons"
"Carnivora","Mustela sibirica",6.00388706710654,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Mustela strigidorsa",7.3132203870903,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Namibictis senuti",9.233366223,"omnivore",17.319,17.319,"Miocene","Miocene","lyons"
"Carnivora","Nandinia binotata",7.60090245954208,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Nasua narica",8.30153306926765,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Nasua narica",8.30153306926765,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Nasua nasua",8.35259119950961,"omnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Nasua nasua",8.24113635001922,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Nasuella olivacea",7.20041369885245,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Neofelis nebulosa",9.87816974455184,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Neovison vison",6.23156759540358,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Nimravides galiani",11.76424836,"carnivore",11.8,11.65,"Miocene","Miocene","lyons"
"Carnivora","Nimravides hibbardi",10.946,"carnivore",8.1,8.1,"Miocene","Miocene","lyons"
"Carnivora","Nimravus brachyops",10.31926677,"carnivore",31.8,24.4,"Oligocene","Oligocene","lyons"
"Carnivora","Nimravus sectator",11.486,"carnivore",24,24,"Oligocene","Oligocene","lyons"
"Carnivora","Nyctereutes donnezani",8.986989618,"omnivore",7.016,3.7,"Miocene","Pliocene","lyons"
"Carnivora","Nyctereutes megamastoides",9.903418485,"omnivore",3.96,2.197,"Pliocene","Pleistocene","lyons"
"Carnivora","Nyctereutes procyonoides",8.3039999709552,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Odobenus rosmarus",14.34613881,"invertivore",0.006,0.006,"Holocene","Holocene","lyons"
"Carnivora","Oligobunis floridanus",10.09553075,"omnivore",21.7,21.7,"Miocene","Miocene","lyons"
"Carnivora","Orangictis gariepensis",8.473513142,"omnivore",17.319,17.319,"Miocene","Miocene","lyons"
"Carnivora","Osbornodon fricki",10.59213342,"omnivore",17.65,15.1,"Miocene","Miocene","lyons"
"Carnivora","Osbornodon iamonensis",9.81240507,"omnivore",21.7,18.5,"Miocene","Miocene","lyons"
"Carnivora","Osbornodon renjiei",8.80626773,"omnivore",33.55,31.95,"Oligocene","Oligocene","lyons"
"Carnivora","Osbornodon scitulus",9.381517127,"omnivore",19.8,18.65,"Miocene","Miocene","lyons"
"Carnivora","Osbornodon sesnoni",9.175276993,"omnivore",30.45,25.615,"Oligocene","Oligocene","lyons"
"Carnivora","Otarocyon cooki",7.2,"omnivore",25.2,24.9,"Oligocene","Oligocene","lyons"
"Carnivora","Otocyon megalotis",8.33086795056474,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Oxetocyon cuspidatus",7.636517708,"omnivore",31.25,31.15,"Oligocene","Oligocene","lyons"
"Carnivora","Pachycrocuta brevirostris",11.69482969,"carnivore",3.96,0.4535,"Pliocene","Pleistocene","lyons"
"Carnivora","Pachycrocuta licenti",11.78002534,"carnivore",1.6845,1.6845,"Pleistocene","Pleistocene","lyons"
"Carnivora","Paguma larvata",8.36637030168165,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Palaeogale dorothiae",6.099,"omnivore",26.25,24.4,"Oligocene","Oligocene","lyons"
"Carnivora","Palaeogale minuta",5.235,"omnivore",24.75,16.435,"Oligocene","Miocene","lyons"
"Carnivora","Palaeogale sectoria",6.208,"omnivore",35.85,17.375,"Eocene","Miocene","lyons"
"Carnivora","Panthera gombaszoegensis",11.40700655,"carnivore",3.96,0.4535,"Pliocene","Pleistocene","lyons"
"Carnivora","Panthera leo",11.9922546011945,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Panthera leo",12.8484248180636,"carnivore",2.58,0.014,"Pleistocene","Pleistocene","mom"
"Carnivora","Panthera leo",12.6875928520545,"carnivore",3.96,0.006,"Pliocene","Holocene","lyons, mom"
"Carnivora","Panthera leo",12.978954794109,"carnivore",2.58,0.011,"Pleistocene","Holocene","mom"
"Carnivora","Panthera onca",11.3829627324851,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Panthera onca",11.5129254649702,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Panthera pardus",10.9150822641954,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Panthera pardus",10.725467604939,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Panthera pardus",10.9262082280261,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Panthera tigris",11.9988270493687,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Paracynarctus kelloggi",9.239443071,"omnivore",20.6,13.7,"Miocene","Miocene","lyons"
"Carnivora","Paracynarctus sinclairi",9.194864929,"omnivore",16.45,15.1,"Miocene","Miocene","lyons"
"Carnivora","Paracynictis selousi",7.40244237443495,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Paradaphoenus cuspigerus",8.29702482,"carnivore",25.615,25.55,"Oligocene","Oligocene","lyons"
"Carnivora","Paradaphoenus minimus",10.86820164,"carnivore",36.05,33.4,"Eocene","Oligocene","lyons"
"Carnivora","Paradaphoenus tooheyi",9.51870599,"carnivore",25,25,"Oligocene","Oligocene","lyons"
"Carnivora","Paradoxurus hermaphroditus",8.07090608878782,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Paradoxurus jerdoni",7.93047595447214,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Paraenhydrocyon josephi",9.100724702,"omnivore",28.5,22.75,"Oligocene","Miocene","lyons"
"Carnivora","Paraenhydrocyon robustus",9.222847695,"omnivore",23.1,23.1,"Oligocene","Oligocene","lyons"
"Carnivora","Paraenhydrocyon wallovianus",9.844909379,"omnivore",25.615,20.9,"Oligocene","Miocene","lyons"
"Carnivora","Paralutra jaegeri",8.611668248,"omnivore",15.804,10.4,"Miocene","Miocene","lyons"
"Carnivora","Parapotos tedfordi",8.17,"omnivore",13.75,13.75,"Miocene","Miocene","lyons"
"Carnivora","Parataxidea crassa",8.411343345,"omnivore",3.96,3.96,"Pliocene","Pliocene","lyons"
"Carnivora","Paratomarctus euthos",9.811685524,"omnivore",12.25,11.6,"Miocene","Miocene","lyons"
"Carnivora","Paratomarctus temerarius",9.539064297,"omnivore",18.65,12.3,"Miocene","Miocene","lyons"
"Carnivora","Pardofelis marmorata",8.08641027532378,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Parictis parvus",7.178,"omnivore",37.75,36.1,"Eocene","Eocene","lyons"
"Carnivora","Pekania diluviana",8.942722519,"omnivore",0.85,0.3,"Pleistocene","Pleistocene","lyons"
"Carnivora","Pekania pennanti",8.048788284,"omnivore",0.3,0.011385,"Pleistocene","Holocene","lyons"
"Carnivora","Percrocuta tungurensis",11.81226153,"omnivore",13.2,10.651,"Miocene","Miocene","lyons"
"Carnivora","Philotrox condoni",9.636305386,"omnivore",25.8,24.7,"Oligocene","Oligocene","lyons"
"Carnivora","Phlaocyon achoros",7.8305,"omnivore",23.05,23.05,"Oligocene","Oligocene","lyons"
"Carnivora","Phlaocyon annectens",8.075019661,"omnivore",21.05,20.85,"Miocene","Miocene","lyons"
"Carnivora","Phlaocyon latidens",7.857933492,"omnivore",28.75,25.615,"Oligocene","Oligocene","lyons"
"Carnivora","Phlaocyon leucosteus",8.214696123,"omnivore",21.75,17.375,"Miocene","Miocene","lyons"
"Carnivora","Phlaocyon marslandensis",8.676,"omnivore",19.5,19.5,"Miocene","Miocene","lyons"
"Carnivora","Phlaocyon minor",8.10078719,"omnivore",25.2,20.7,"Oligocene","Miocene","lyons"
"Carnivora","Phlaocyon taylori",7.57,"omnivore",24.75,24.75,"Oligocene","Oligocene","lyons"
"Carnivora","Phlaocyon yatkolai",9.533,"omnivore",17.375,17.375,"Miocene","Miocene","lyons"
"Carnivora","Phoberocyon hispanicus",11.48989961,"omnivore",21.2,18.45,"Miocene","Miocene","lyons"
"Carnivora","Phoberocyon johnhenryi",11.88401452,"omnivore",21.7,21.7,"Miocene","Miocene","lyons"
"Carnivora","Phoberogale depereti",10.47676217,"omnivore",21.2,21.2,"Miocene","Miocene","lyons"
"Carnivora","Plesiogulo brachygnathus",9.903418485,"carnivore",8.225,8.225,"Miocene","Miocene","lyons"
"Carnivora","Plesiogulo lindsayi",9.932581129,"carnivore",9.15,6.85,"Miocene","Miocene","lyons"
"Carnivora","Plesiogulo marshalli",9.578200991,"carnivore",9.7,6.05,"Miocene","Miocene","lyons"
"Carnivora","Plesiogulo monspessulanus",11.51292546,"carnivore",7.604,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Pliocrocuta perrieri",11.28266696,"carnivore",4.266,0.4535,"Pliocene","Pleistocene","lyons"
"Carnivora","Pliocyon medius",11.9633786,"carnivore",15.55,14.5,"Miocene","Miocene","lyons"
"Carnivora","Pliocyon robustus",12.1105,"carnivore",13.6,13.6,"Miocene","Miocene","lyons"
"Carnivora","Pliogale manka",7.389,"omnivore",12.45,12.45,"Miocene","Miocene","lyons"
"Carnivora","Plionarctos edensis",10.95,"omnivore",8.3,6.7,"Miocene","Miocene","lyons"
"Carnivora","Plionarctos harroldorum",10.78991375,"omnivore",4.5,3.35,"Pliocene","Pliocene","lyons"
"Carnivora","Plionictis ogygia",6.022501652,"omnivore",17.2,11.4,"Miocene","Miocene","lyons"
"Carnivora","Plionictis oregonensis",7.472,"omnivore",9.8,9.8,"Miocene","Miocene","lyons"
"Carnivora","Pliotaxidea garberi",7.567287386,"omnivore",7.65,7.25,"Miocene","Miocene","lyons"
"Carnivora","Pliotaxidea nevadensis",6.5945,"omnivore",10.45,7,"Miocene","Miocene","lyons"
"Carnivora","Plithocyon antunesi",11.87673391,"omnivore",14.81,14.81,"Miocene","Miocene","lyons"
"Carnivora","Plithocyon armagnacensis",11.66029091,"omnivore",13.789,11.608,"Miocene","Miocene","lyons"
"Carnivora","Plithocyon barstowensis",11.768,"omnivore",14,14,"Miocene","Miocene","lyons"
"Carnivora","Plithocyon ursinus",11.99265906,"omnivore",16.3,13.1,"Miocene","Miocene","lyons"
"Carnivora","Poecilogale albinucha",5.82894855878235,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Pogonodon davisi",10.97,"carnivore",25,25,"Oligocene","Oligocene","lyons"
"Carnivora","Poiana richardsonii",6.21460809842219,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Potos flavus",8.00636756765025,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Potos flavus",8.00636756765025,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Pratifelis martini",11.6045,"carnivore",8,8,"Miocene","Miocene","lyons"
"Carnivora","Prionailurus bengalensis",8.10167774745457,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Prionailurus rubiginosus",7.20785987143248,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Prionailurus viverrinus",9.29192035896861,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Prionodon linsang",6.5510803350434,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Prionodon pardicolor",6.23832462503951,"omnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Proailurus lemanensis",9.546517796,"omnivore",21.2,21.2,"Miocene","Miocene","lyons"
"Carnivora","Procynodictis progressus",7.880862241,"omnivore",42.85,40.75,"Eocene","Eocene","lyons"
"Carnivora","Procynodictis vulpiceps",7.483258542,"omnivore",50.45,41.55,"Eocene","Eocene","lyons"
"Carnivora","Procyon cancrivorus",8.84648585936077,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Procyon lotor",8.637,"omnivore",3.35,0.006,"Pliocene","Holocene","lyons"
"Carnivora","Procyon pygmaeus",7.82404601085629,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Procyon rexroadensis",9.413,"omnivore",3.5,3.3,"Pliocene","Pliocene","lyons"
"Carnivora","Prodaphaenus uintensis",8.519564844,"carnivore",44.75,44.75,"Eocene","Eocene","lyons"
"Carnivora","Prohesperocyon wilsoni",8.123,"omnivore",36.55,36.55,"Eocene","Eocene","lyons"
"Carnivora","Promartes lepidus",8.246,"omnivore",21.95,17.375,"Miocene","Miocene","lyons"
"Carnivora","Promegantereon ogygia",10.69090259,"carnivore",9.2,8.225,"Miocene","Miocene","lyons"
"Carnivora","Promephitis hootoni",8.130427963,"omnivore",7.498,7.498,"Miocene","Miocene","lyons"
"Carnivora","Promephitis maeotica",8.006088368,"omnivore",9.427,9.427,"Miocene","Miocene","lyons"
"Carnivora","Prosansanosmilus peregrinus",10.5964966,"omnivore",18.2,16.435,"Miocene","Miocene","lyons"
"Carnivora","Proteles cristata",9.21034037197618,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Protepicyon raki",10.602,"omnivore",14.35,14.15,"Miocene","Miocene","lyons"
"Carnivora","Protocyon orcesi",10.1266311038503,"carnivore",2.58,0.012,"Pleistocene","Pleistocene","mom"
"Carnivora","Protocyon troglodytes",10.27643727,"omnivore",0.4535,0.02006,"Pleistocene","Pleistocene","lyons"
"Carnivora","Protocyon troglodytes",9.68034400122192,"carnivore",2.58,0.012,"Pleistocene","Pleistocene","mom"
"Carnivora","Protomarctus optatus",9.33,"omnivore",20.15,15.3,"Miocene","Miocene","lyons"
"Carnivora","Protoprocyon savagei",7.534,"omnivore",11.8,11.8,"Miocene","Miocene","lyons"
"Carnivora","Psalidocyon marianae",9.183,"omnivore",16.5,15.2,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus aeluroides",9.9885,"carnivore",14.785,13.2,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus intrepidus",10.2825,"carnivore",17.35,5.8,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus lorteti",9.615595348,"carnivore",16.435,13.789,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus marshi",10.1105,"carnivore",15.3,12.9,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus quadridentatus",10.30867346,"carnivore",18.2,9.2,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus stouti",8.2195,"carnivore",12.9,12.9,"Miocene","Miocene","lyons"
"Carnivora","Pseudaelurus validus",10.1175589,"carnivore",20.43,13.6,"Miocene","Miocene","supp"
"Carnivora","Pseudocyon sansaniensis",12.04155996,"carnivore",18.45,11.608,"Miocene","Miocene","lyons"
"Carnivora","Pseudocyonopsis antiquus",10.29255537,"carnivore",33.289,33.289,"Oligocene","Oligocene","lyons"
"Carnivora","Pteronura brasiliensis",10.085806234326,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Puma concolor",10.601388814882,"carnivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Puma concolor",10.851277629764,"carnivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Puma lacustris",9.856323744,"carnivore",3.35,1.85,"Pliocene","Pleistocene","lyons"
"Carnivora","Rhizocyon oregonensis",7.946362789,"omnivore",28.5,25.615,"Oligocene","Oligocene","lyons"
"Carnivora","Rhynchogale melleri",7.82404601085629,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Carnivora","Simocyon diaphorus",10.91425334,"omnivore",10.4,10.4,"Miocene","Miocene","lyons"
"Carnivora","Simocyon primigenius",11.10751239,"omnivore",8.47,3.96,"Miocene","Pliocene","lyons"
"Carnivora","Sivaonyx hessicus",9.546517796,"omnivore",6.4,6.4,"Miocene","Miocene","lyons"
"Carnivora","Smilodon fatalis",12.4720115080451,"carnivore",2.58,0.00941,"Pleistocene","Holocene","lyons, mom"
"Carnivora","Smilodon fatalis",12.978954794109,"carnivore",2.58,0.011,"Pleistocene","Holocene","mom"
"Carnivora","Smilodon gracilis",10.869,"carnivore",3.65,0.069,"Pliocene","Pleistocene","lyons"
"Carnivora","Smilodon populator",11.91818044,"carnivore",1.6845,0.01002,"Pleistocene","Holocene","lyons"
"Carnivora","Smilodon populator",12.9990651610598,"carnivore",2.58,0.0112,"Pleistocene","Holocene","mom"
"Carnivora","Sminthosinis bowleri",4.61,"omnivore",3.75,3.75,"Pliocene","Pliocene","lyons"
