"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"","Dipassalus oryctes",4.317488114,"invertivore",52.1,50.9375,"Eocene","Eocene","lyons"
"","Dorsetodon haysomi",-0.561963925,"invertivore",145,140.2,"Early Cretaceous","Early Cretaceous","supp"
"","Ectoconus ditrigonus",10.017,"herbivore",64.1,63,"Paleocene","Paleocene","lyons"
"","Ectoconus symbolus",9.557,"herbivore",63.2,62.9,"Paleocene","Paleocene","lyons"
"","Ectoganus bighornensis",10.686,"herbivore",55.5,55.5,"Eocene","Eocene","lyons"
"","Ectoganus copei",10.50232405,"herbivore",56.8,56.8,"Paleocene","Paleocene","lyons"
"","Ectoganus gliriformes",11.23903449,"herbivore",55.2,53.4,"Eocene","Eocene","lyons"
"","Ectoganus gliriformis",10.844,"herbivore",58.1,52.8,"Paleocene","Eocene","lyons"
"","Ellesmene eureka",6.726,"invertivore",53.05,53.05,"Eocene","Eocene","lyons"
"","Endotherium niinomii",3.698058295,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Eomaia scansoria",3.11,"invertivore",129.4,125,"Early Cretaceous","Early Cretaceous","supp"
"","Eoungulatum kudukensis",5.06868559,"invertivore",93.5,86.3,"Late Cretaceous","Late Cretaceous","supp"
"","Eozhelestes mangit",4.516175336,"invertivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"","Escavadodon zygus",4.928,"invertivore",61.2,61.2,"Paleocene","Paleocene","lyons"
"","Galemys kormosi",4.228019834,"invertivore",5.333,0.0117,"Pliocene","Pleistocene","supp"
"","Galemys sulimskii",4.374568497,"invertivore",4.2,3.2,"Pliocene","Pliocene","supp"
"","Gallolestes pachymandibularis",4.259,"invertivore",72.2,72.2,"Late Cretaceous","Late Cretaceous","lyons"
"","Glasbius intricatus",2.367587087,"herbivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Haploconus angustus",7.091,"herbivore",65.25,61.25,"Paleocene","Paleocene","lyons"
"","Haploconus elachistus",6.13,"herbivore",63,62.9,"Paleocene","Paleocene","lyons"
"","Haploconus entoconus",7.728,"herbivore",64.05,63.7,"Paleocene","Paleocene","lyons"
"","Heishanlestes changi",2.710360077,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Hemithlaeus josephi",5.233,"herbivore",65.2,65.2,"Paleocene","Paleocene","lyons"
"","Holoclemensia texana",3.500070438,"invertivore",122.46,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Hovurlestes noyon",3.165519529,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Huerfanodon polecatensis",10.301,"omnivore",60.9,60.9,"Paleocene","Paleocene","lyons"
"","Huerfanodon torrejonius",9.945,"omnivore",61.25,61.25,"Paleocene","Paleocene","lyons"
"","Infernolestes rougieri",1.531703479,"invertivore",145,136.4,"Early Cretaceous","Early Cretaceous","supp"
"","Intyrictis vanvaleni",6.101433883,"carnivore",61.7,60.8,"Paleocene","Paleocene","lyons"
"","Kennalestes gobiensis",3.66,"invertivore",83.6,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Kokopellia juddi",2.955054434,"omnivore",105.3,93.5,"Early Cretaceous","Late Cretaceous","supp"
"","Kulbeckia kulbecke",4.145435425,"invertivore",93.5,83.5,"Late Cretaceous","Late Cretaceous","supp"
"","Lactodens sheni",1.9104991,"invertivore",125,113,"Early Cretaceous","Early Cretaceous","supp"
"","Lainodon orueetxebarriai",6.166280571,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Leptalestes cooki",4.286738361,"omnivore",83.5,63.3,"Late Cretaceous","Paleocene","supp"
"","Leptalestes krejcii",3.482408436,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Leptalestes toevsi",3.720263848,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Magallanodon baikashkenke",9.050764377,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"","Maiorana ferrisensis",6.593,"herbivore",65.2,65.2,"Paleocene","Paleocene","lyons"
"","Maotherium asiaticus",4.35,"invertivore",125.45,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Maotherium sinensis",2.319638989,"invertivore",125.45,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Metacheiromys dasypus",8.566,"invertivore",46.45,46.15,"Eocene","Eocene","lyons"
"","Metacheiromys marshi",8.566,"invertivore",46.45,46.3,"Eocene","Eocene","lyons"
"","Mimatuta minuial",6.422,"herbivore",65.2,65.15,"Paleocene","Paleocene","lyons"
"","Mimatuta morgoth",6.249,"herbivore",65.2,64.4,"Paleocene","Paleocene","lyons"
"","Mistralestes arcensis",5.507968815,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Mithrandir gillianus",6.469,"herbivore",64.75,63.7,"Paleocene","Paleocene","lyons"
"","Montanalestes keeblerorum",2.292709325,"invertivore",113,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Mozomus shikamai",1.81,"invertivore",122.46,109,"Early Cretaceous","Early Cretaceous","supp"
"","Oligoryctes cameronensis",1.498,"invertivore",37.5,35.65,"Eocene","Eocene","lyons"
"","Oodectes herpestoides",6.215,"invertivore",51.75,46.45,"Eocene","Eocene","lyons"
