id,Order,Family,Genus,Species,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diet,Body_size_mm,,
Anf4075,Anura,Microhylidae,Oreophryne,Oreophryne terrestris,NA,NA,NA,NA,1,NA,Insectivore,19.7,,
Anf1544,Anura,Dendrobatidae,Ranitomeya,Ranitomeya bombetes,NA,NA,NA,NA,1,NA,Insectivore,19.8,,
Anf3695,Anura,Megophryidae,Leptobrachella,Leptobrachella mjobergi,NA,NA,NA,NA,1,NA,Insectivore,20,,
Anf3698,Anura,Megophryidae,Leptobrachella,Leptobrachella parva,NA,NA,NA,NA,1,NA,Insectivore,20,,
Anf3947,Anura,Microhylidae,Choerophryne,Choerophryne microps,NA,NA,NA,NA,1,NA,Insectivore,20,,
Anf3985,Anura,Microhylidae,Cophixalus,Cophixalus peninsularis,NA,NA,NA,NA,1,NA,Insectivore,20,,
Anf4310,Anura,Microhylidae,Microhyla,Microhyla zeylanica,NA,NA,NA,NA,1,NA,Insectivore,20,,
Anf3887,Anura,Microhylidae,Albericus,Albericus valkuriarum,NA,NA,NA,NA,1,NA,Insectivore,20.2,,
Anf4188,Anura,Microhylidae,Chiasmocleis,Chiasmocleis capixaba,NA,NA,NA,NA,1,NA,Insectivore,20.2,,
Anf4192,Anura,Microhylidae,Chiasmocleis,Chiasmocleis crucis,NA,NA,NA,NA,1,NA,Insectivore,20.2,,
Anf4306,Anura,Microhylidae,Microhyla,Microhyla pulverata,NA,NA,NA,NA,1,NA,Insectivore,20.2,,
Anf3918,Anura,Microhylidae,Austrochaperina,Austrochaperina yelaensis,NA,NA,NA,NA,1,NA,Insectivore,20.5,,
Anf3993,Anura,Microhylidae,Cophixalus,Cophixalus sphagnicola,NA,NA,NA,NA,1,NA,Insectivore,20.6,,
Anf3906,Anura,Microhylidae,Austrochaperina,Austrochaperina kosarek,NA,NA,NA,NA,1,NA,Insectivore,21,,
Anf3908,Anura,Microhylidae,Austrochaperina,Austrochaperina mehelyi,NA,NA,NA,NA,1,NA,Insectivore,21,,
Anf3910,Anura,Microhylidae,Austrochaperina,Austrochaperina novaebritanniae,NA,NA,NA,NA,1,NA,Insectivore,21,,
Anf4292,Anura,Microhylidae,Microhyla,Microhyla karunaratnei,NA,NA,NA,NA,1,NA,Insectivore,21,,
Anf3874,Anura,Microhylidae,Albericus,Albericus brunhildae,NA,NA,NA,NA,1,NA,Insectivore,21.1,,
Anf4055,Anura,Microhylidae,Oreophryne,Oreophryne geminus,NA,NA,NA,NA,1,NA,Insectivore,21.2,,
Anf3884,Anura,Microhylidae,Albericus,Albericus siegfriedi,NA,NA,NA,NA,1,NA,Insectivore,21.3,,
Anf3729,Anura,Megophryidae,Leptolalax,Leptolalax applebyi,NA,NA,NA,NA,1,NA,Insectivore,21.7,,
Anf3879,Anura,Microhylidae,Albericus,Albericus gunnari,NA,NA,NA,NA,1,NA,Insectivore,21.7,,
Anf4172,Anura,Microhylidae,Stumpffia,Stumpffia megsoni,NA,NA,NA,NA,1,NA,Insectivore,21.7,,
Anf1506,Anura,Dendrobatidae,Epipedobates,Epipedobates boulengeri,NA,NA,NA,NA,1,NA,Insectivore,21.8,,
Anf1526,Anura,Dendrobatidae,Oophaga,Oophaga granulifera,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf3895,Anura,Microhylidae,Austrochaperina,Austrochaperina adelphe,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf4175,Anura,Microhylidae,Stumpffia,Stumpffia roseifemoralis,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf4286,Anura,Microhylidae,Microhyla,Microhyla chakrapanii,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf4301,Anura,Microhylidae,Microhyla,Microhyla palmipes,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf4497,Anura,Phrynobatrachidae,Phrynobatrachus,Phrynobatrachus francisci,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf4654,Anura,Pyxicephalidae,Anhydrophryne,Anhydrophryne ngongoniensis,NA,NA,NA,NA,1,NA,Insectivore,22,,
Anf3949,Anura,Microhylidae,Choerophryne,Choerophryne proboscidea,NA,NA,NA,NA,1,NA,Insectivore,22.1,,
Anf4191,Anura,Microhylidae,Chiasmocleis,Chiasmocleis cordeiroi,NA,NA,NA,NA,1,NA,Insectivore,22.1,,
Anf4261,Anura,Microhylidae,Chaperina,Chaperina fusca,NA,NA,NA,NA,1,NA,Insectivore,22.4,,
Anf3946,Anura,Microhylidae,Choerophryne,Choerophryne longirostris,NA,NA,NA,NA,1,NA,Insectivore,22.5,,
Anf1456,Anura,Dendrobatidae,Ameerega,Ameerega bilinguis,NA,NA,NA,NA,1,NA,Insectivore,22.6,,
Anf3951,Anura,Microhylidae,Cophixalus,Cophixalus aenigma,NA,NA,NA,NA,1,NA,Insectivore,22.6,,
Anf4281,Anura,Microhylidae,Microhyla,Microhyla annamensis,NA,NA,NA,NA,1,NA,Insectivore,22.6,,
Anf1514,Anura,Dendrobatidae,Adelphobates,Adelphobates castaneoticus,NA,NA,NA,NA,1,NA,Insectivore,22.7,,
Anf4199,Anura,Microhylidae,Chiasmocleis,Chiasmocleis mantiqueira,NA,NA,NA,NA,1,NA,Insectivore,22.8,,
Anf1463,Anura,Dendrobatidae,Ameerega,Ameerega hahneli,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf1992,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus wightmanae,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf3877,Anura,Microhylidae,Albericus,Albericus fafniri,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf3903,Anura,Microhylidae,Austrochaperina,Austrochaperina gracilipes,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf4017,Anura,Microhylidae,Hylophorbus,Hylophorbus richardsi,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf4136,Anura,Microhylidae,Madecassophryne,Madecassophryne Truebae,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf4290,Anura,Microhylidae,Microhyla,Microhyla fusca,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf5602,Anura,Strabomantidae,Pristimantis,Pristimantis croceoinguinis,NA,NA,NA,NA,1,NA,Insectivore,23,,
Anf4295,Anura,Microhylidae,Microhyla,Microhyla marmorata,NA,NA,NA,NA,1,NA,Insectivore,23.1,,
Anf0050,Anura,Aromobatidae,Allobates,Allobates rufulus,NA,NA,NA,NA,1,NA,Insectivore,23.4,,
Anf4094,Anura,Microhylidae,Xenorhina,Xenorhina anorbis,NA,NA,NA,NA,1,NA,Insectivore,23.4,,
Anf4244,Anura,Microhylidae,Kalophrynus,Kalophrynus menglienicus,NA,NA,NA,NA,1,NA,Insectivore,23.4,,
Anf4197,Anura,Microhylidae,Chiasmocleis,Chiasmocleis leucosticta,NA,NA,NA,NA,1,NA,Insectivore,23.6,,
Anf4288,Anura,Microhylidae,Microhyla,Microhyla fissipes,NA,NA,NA,NA,1,NA,Insectivore,23.6,,
Anf0159,Anura,Arthroleptina,Arthroleptis,Arthroleptis xenodactyloides,NA,NA,NA,NA,1,NA,Insectivore,23.8,,
Anf2233,Anura,Hylidae,Dendropsophus,Dendropsophus nanus,NA,NA,NA,NA,1,NA,Insectivore,23.8,,
Anf0568,Anura,Bufonidae,Dendrophryniscus,Dendrophryniscus minutus,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf1469,Anura,Dendrobatidae,Ameerega,Ameerega parvula,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf1536,Anura,Dendrobatidae,Phyllobates,Phyllobates lugubris,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf3630,Anura,Mantellidae,Mantella,Mantella bernhardi,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf3633,Anura,Mantellidae,Mantella,Mantella crocea,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf3980,Anura,Microhylidae,Cophixalus,Cophixalus monticola,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf4093,Anura,Microhylidae,Xenorhina,Xenorhina adisca,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf4098,Anura,Microhylidae,Xenorhina,Xenorhina bouwensi,NA,NA,NA,NA,1,NA,Insectivore,24,,
Anf3891,Anura,Microhylidae,Aphantophryne,Aphantophryne sabini,NA,NA,NA,NA,1,NA,Insectivore,24.1,,
Anf0075,Anura,Aromobatidae,Anomaloglossus,Anomaloglossus parkerae,NA,NA,NA,NA,1,NA,Insectivore,24.2,,
Anf1473,Anura,Dendrobatidae,Ameerega,Ameerega picta,NA,NA,NA,NA,1,NA,Insectivore,24.4,,
Anf4189,Anura,Microhylidae,Chiasmocleis,Chiasmocleis carvalhoi,NA,NA,NA,NA,1,NA,Insectivore,24.4,,
Anf4190,Anura,Microhylidae,Chiasmocleis,Chiasmocleis centralis,NA,NA,NA,NA,1,NA,Insectivore,24.4,,
Anf4246,Anura,Microhylidae,Kalophrynus,Kalophrynus nubicola,NA,NA,NA,NA,1,NA,Insectivore,24.4,,
Anf4007,Anura,Microhylidae,Copiula,Copiula minor,NA,NA,NA,NA,1,NA,Insectivore,24.5,,
Anf4147,Anura,Microhylidae,Plethodontohyla,Plethodontohyla bipunctata,NA,NA,NA,NA,1,NA,Insectivore,24.5,,
Anf4200,Anura,Microhylidae,Chiasmocleis,Chiasmocleis mehelyi,NA,NA,NA,NA,1,NA,Insectivore,24.5,,
Anf4169,Anura,Microhylidae,Stumpffia,Stumpffia hara,NA,NA,NA,NA,1,NA,Insectivore,24.6,,
Anf2469,Anura,Hylidae,Lysapsus,Lysapsus limellum,NA,NA,NA,NA,1,NA,Insectivore,24.8,,
Anf4056,Anura,Microhylidae,Oreophryne,Oreophryne habbemensis,NA,NA,NA,NA,1,NA,Insectivore,24.8,,
Anf0055,Anura,Aromobatidae,Allobates,Allobates talamancae,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf1810,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus abbotti,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf3913,Anura,Microhylidae,Austrochaperina,Austrochaperina pluvialis,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf3916,Anura,Microhylidae,Austrochaperina,Austrochaperina robusta,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf3983,Anura,Microhylidae,Cophixalus,Cophixalus ornatus,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf4168,Anura,Microhylidae,Stumpffia,Stumpffia grandis,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf4202,Anura,Microhylidae,Chiasmocleis,Chiasmocleis sapiranga,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf4280,Anura,Microhylidae,Microhyla,Microhyla achatina,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf4284,Anura,Microhylidae,Microhyla,Microhyla borneensis,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf4296,Anura,Microhylidae,Microhyla,Microhyla mixtura,NA,NA,NA,NA,1,NA,Insectivore,25,,
Anf0061,Anura,Aromobatidae,Anomaloglossus,Anomaloglossus atopoglossus,NA,NA,NA,NA,1,NA,Insectivore,25.2,,
Anf4166,Anura,Microhylidae,Stumpffia,Stumpffia be,NA,NA,NA,NA,1,NA,Insectivore,25.2,,
Anf3291,Anura,Leiuperidae,Physalaemus,Physalaemus cicada,NA,NA,NA,NA,1,NA,Insectivore,25.38,,
Anf3857,Anura,Microhylidae,Arcovomer,Arcovomer passarellii,NA,NA,NA,NA,1,NA,Insectivore,25.6,,
Anf4332,Anura,Microhylidae,Paradoxophyla,Paradoxophyla palmata,NA,NA,NA,NA,1,NA,Insectivore,25.6,,
Anf3631,Anura,Mantellidae,Mantella,Mantella betsileo,NA,NA,NA,NA,1,NA,Insectivore,26,,
Anf3634,Anura,Mantellidae,Mantella,Mantella ebenaui,NA,NA,NA,NA,1,NA,Insectivore,26,,
Anf3924,Anura,Microhylidae,Barygenys,Barygenys nana,NA,NA,NA,NA,1,NA,Insectivore,26,,
Anf4285,Anura,Microhylidae,Microhyla,Microhyla butleri,NA,NA,NA,NA,1,NA,Insectivore,26,,
Anf0330,Anura,Brevicipitidae,Breviceps,Breviceps sopranus,NA,NA,NA,NA,1,NA,Insectivore,26.2,,
Anf3899,Anura,Microhylidae,Austrochaperina,Austrochaperina blumi,NA,NA,NA,NA,1,NA,Insectivore,26.3,,
Anf4201,Anura,Microhylidae,Chiasmocleis,Chiasmocleis panamensis,NA,NA,NA,NA,1,NA,Insectivore,26.3,,
Anf4240,Anura,Microhylidae,Kalophrynus,Kalophrynus eok,NA,NA,NA,NA,1,NA,Insectivore,26.3,,
Anf1505,Anura,Dendrobatidae,Epipedobates,Epipedobates anthonyi,NA,NA,NA,NA,1,NA,Insectivore,26.5,,
Anf3960,Anura,Microhylidae,Cophixalus,Cophixalus concinnus,NA,NA,NA,NA,1,NA,Insectivore,26.5,,
Anf4024,Anura,Microhylidae,Liophryne,Liophryne magnitympanum,NA,NA,NA,NA,1,NA,Insectivore,26.5,,
Anf1476,Anura,Dendrobatidae,Ameerega,Ameerega pulchripecta,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf3861,Anura,Microhylidae,Melanophryne,Melanophryne barbatula,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf3875,Anura,Microhylidae,Albericus,Albericus darlingtoni,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf3922,Anura,Microhylidae,Barygenys,Barygenys flavigularis,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf4111,Anura,Microhylidae,Xenorhina,Xenorhina ophiodon,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf4223,Anura,Microhylidae,Elachistocleis,Elachistocleis surumu,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf4228,Anura,Microhylidae,Gastrophryne,Gastrophryne usta,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf4238,Anura,Microhylidae,Kalophrynus,Kalophrynus bunguranus,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf4251,Anura,Microhylidae,Kalophrynus,Kalophrynus subterrestris,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf5912,Anura,Strabomantidae,Pristimantis,Pristimantis variabilis,NA,NA,NA,NA,1,NA,Insectivore,27,,
Anf5846,Anura,Strabomantidae,Pristimantis,Pristimantis saltissimus,NA,NA,NA,NA,1,NA,Insectivore,27.1,,
Anf4083,Anura,Microhylidae,Oxydactyla,Oxydactyla brevicrus,NA,NA,NA,NA,1,NA,Insectivore,27.2,,
Anf4287,Anura,Microhylidae,Microhyla,Microhyla erythropoda,NA,NA,NA,NA,1,NA,Insectivore,27.2,,
Anf1576,Anura,Dendrobatidae,Hyloxalus,Hyloxalus azureiventris,NA,NA,NA,NA,1,NA,Insectivore,27.5,,
Anf3635,Anura,Mantellidae,Mantella,Mantella expectata,NA,NA,NA,NA,1,NA,Insectivore,27.6,,
Anf4082,Anura,Microhylidae,Oxydactyla,Oxydactyla alpestris,NA,NA,NA,NA,1,NA,Insectivore,27.8,,
Anf4182,Anura,Microhylidae,Chiasmocleis,Chiasmocleis alagoanus,NA,NA,NA,NA,1,NA,Insectivore,27.8,,
Anf0670,Anura,Bufonidae,Melanophryniscus,Melanophryniscus montevidensis,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf2240,Anura,Hylidae,Dendropsophus,Dendropsophus phlebodes,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf3359,Anura,Leptodactylidae,Leptodactylus,Leptodactylus andreae,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf3641,Anura,Mantellidae,Mantella,Mantella nigricans,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf3858,Anura,Microhylidae,Gastrophrynoides,Gastrophrynoides borneensis,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf3894,Anura,Microhylidae,Austrochaperina,Austrochaperina adamantina,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf3900,Anura,Microhylidae,Austrochaperina,Austrochaperina brevipes,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf4046,Anura,Microhylidae,Oreophryne,Oreophryne brevirostris,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf4107,Anura,Microhylidae,Xenorhina,Xenorhina minima,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf4158,Anura,Microhylidae,Rhombophryne,Rhombophryne coudreaui,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf4164,Anura,Microhylidae,Rhombophryne,Rhombophryne serratopalpebrosa,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf4176,Anura,Microhylidae,Stumpffia,Stumpffia staffordi,NA,NA,NA,NA,1,NA,Insectivore,28,,
Anf0031,Anura,Aromobatidae,Allobates,Allobates hodli,NA,NA,NA,NA,1,NA,Insectivore,28.1,,
Anf4084,Anura,Microhylidae,Oxydactyla,Oxydactyla coggeri,NA,NA,NA,NA,1,NA,Insectivore,28.2,,
Anf4249,Anura,Microhylidae,Kalophrynus,Kalophrynus punctatus,NA,NA,NA,NA,1,NA,Insectivore,28.3,,
Anf4195,Anura,Microhylidae,Chiasmocleis,Chiasmocleis hudsoni,NA,NA,NA,NA,1,NA,Insectivore,28.4,,
Anf2110,Anura,Hemisotidae,Hemisus,Hemisus perreti,NA,NA,NA,NA,1,NA,Insectivore,28.5,,
Anf4013,Anura,Microhylidae,Hylophorbus,Hylophorbus nigrinus,NA,NA,NA,NA,1,NA,Insectivore,28.6,,
Anf0320,Anura,Brevicipitidae,Breviceps,Breviceps bagginsi,NA,NA,NA,NA,1,NA,Insectivore,28.7,,
Anf1618,Anura,Dendrobatidae,Hyloxalus,Hyloxalus sauli,NA,NA,NA,NA,1,NA,Insectivore,28.7,,
Anf4119,Anura,Microhylidae,Xenorhina,Xenorhina tumulus,NA,NA,NA,NA,1,NA,Insectivore,28.7,,
Anf0662,Anura,Bufonidae,Melanophryniscus,Melanophryniscus devincenzii,NA,NA,NA,NA,1,NA,Insectivore,29,,
Anf3639,Anura,Mantellidae,Mantella,Mantella manery,NA,NA,NA,NA,1,NA,Insectivore,29,,
Anf3855,Anura,Microhylidae,Adelastes,Adelastes hylonomos,NA,NA,NA,NA,1,NA,Insectivore,29,,
Anf3981,Anura,Microhylidae,Cophixalus,Cophixalus neglectus,NA,NA,NA,NA,1,NA,Insectivore,29,,
Anf4097,Anura,Microhylidae,Xenorhina,Xenorhina bidens,NA,NA,NA,NA,1,NA,Insectivore,29,,
Anf4312,Anura,Microhylidae,Micryletta,Micryletta steinegeri,NA,NA,NA,NA,1,NA,Insectivore,29.1,,
Anf4009,Anura,Microhylidae,Copiula,Copiula oxyrhina,NA,NA,NA,NA,1,NA,Insectivore,29.2,,
Anf4014,Anura,Microhylidae,Hylophorbus,Hylophorbus picoides,NA,NA,NA,NA,1,NA,Insectivore,29.2,,
Anf4294,Anura,Microhylidae,Microhyla,Microhyla mantheyi,NA,NA,NA,NA,1,NA,Insectivore,29.2,,
Anf1467,Anura,Dendrobatidae,Ameerega,Ameerega macero,NA,NA,NA,NA,1,NA,Insectivore,29.5,,
Anf4307,Anura,Microhylidae,Microhyla,Microhyla rubra,NA,NA,NA,NA,1,NA,Insectivore,29.5,,
Anf1450,Anura,Cycloramphidae,Zachaenus,Zachaenus parvulus,NA,NA,NA,NA,1,NA,Insectivore,29.6,,
Anf4022,Anura,Microhylidae,Liophryne,Liophryne allisoni,NA,NA,NA,NA,1,NA,Insectivore,29.6,,
Anf4187,Anura,Microhylidae,Chiasmocleis,Chiasmocleis bassleri,NA,NA,NA,NA,1,NA,Insectivore,29.9,,
Anf0671,Anura,Bufonidae,Melanophryniscus,Melanophryniscus moreirae,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf0679,Anura,Bufonidae,Melanophryniscus,Melanophryniscus stelzneri,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf1338,Anura,Craugastoridae,Craugastor,Craugastor underwoodi,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf2571,Anura,Hylidae,Pseudacris,Pseudacris fouquettei,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf3629,Anura,Mantellidae,Mantella,Mantella baroni,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf3636,Anura,Mantellidae,Mantella,Mantella haraldmeieri,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf3640,Anura,Mantellidae,Mantella,Mantella milotympanum,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf3642,Anura,Mantellidae,Mantella,Mantella pulchra,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4184,Anura,Microhylidae,Chiasmocleis,Chiasmocleis anatipes,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4208,Anura,Microhylidae,Ctenophryne,Ctenophryne minor,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4230,Anura,Microhylidae,Hypopachus,Hypopachus barberi,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4311,Anura,Microhylidae,Micryletta,Micryletta inornata,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4344,Anura,Myobatrachidae,Assa,Assa darlingtoni,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4382,Anura,Myobatrachidae,Pseudophryne,Pseudophryne corroboree,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4388,Anura,Myobatrachidae,Pseudophryne,Pseudophryne occidentalis,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4514,Anura,Phrynobatrachidae,Phrynobatrachus,Phrynobatrachus latifrons,NA,NA,NA,NA,1,NA,Insectivore,30,,
Anf4085,Anura,Microhylidae,Oxydactyla,Oxydactyla crassa,NA,NA,NA,NA,1,NA,Insectivore,30.1,,
Anf4291,Anura,Microhylidae,Microhyla,Microhyla heymonsi,NA,NA,NA,NA,1,NA,Insectivore,30.4,,
Anf1462,Anura,Dendrobatidae,Ameerega,Ameerega flavopicta,NA,NA,NA,NA,1,NA,Insectivore,30.5,,
Anf5457,Anura,Strabomantidae,Hypodactylus,Hypodactylus nigrovittatus,NA,NA,NA,NA,1,NA,Insectivore,30.5,,
Anf3912,Anura,Microhylidae,Austrochaperina,Austrochaperina parkeri,NA,NA,NA,NA,1,NA,Insectivore,30.6,,
Anf4116,Anura,Microhylidae,Xenorhina,Xenorhina schiefenhoeveli,NA,NA,NA,NA,1,NA,Insectivore,30.7,,
Anf4333,Anura,Microhylidae,Paradoxophyla,Paradoxophyla tiarano,NA,NA,NA,NA,1,NA,Insectivore,30.7,,
Anf4299,Anura,Microhylidae,Microhyla,Microhyla okinavensis,NA,NA,NA,NA,1,NA,Insectivore,30.8,,
Anf0325,Anura,Brevicipitidae,Breviceps,Breviceps montanus,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf1447,Anura,Cycloramphidae,Rhinoderma,Rhinoderma darwinii,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf1472,Anura,Dendrobatidae,Ameerega,Ameerega petersi,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf1521,Anura,Dendrobatidae,Dendrobates,Dendrobates truncatus,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf1538,Anura,Dendrobatidae,Phyllobates,Phyllobates vittatus,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf3628,Anura,Mantellidae,Mantella,Mantella aurantiaca,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf3632,Anura,Mantellidae,Mantella,Mantella cowanii,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf3638,Anura,Mantellidae,Mantella,Mantella madagascariensis,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf3896,Anura,Microhylidae,Austrochaperina,Austrochaperina aquilonia,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf4089,Anura,Microhylidae,Pherohapsis,Pherohapsis menziesi,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf4252,Anura,Microhylidae,Kalophrynus,Kalophrynus yongi,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf4304,Anura,Microhylidae,Microhyla,Microhyla picta,NA,NA,NA,NA,1,NA,Insectivore,31,,
Anf3890,Anura,Microhylidae,Aphantophryne,Aphantophryne pansa,NA,NA,NA,NA,1,NA,Insectivore,31.6,,
Anf3917,Anura,Microhylidae,Austrochaperina,Austrochaperina septentrionalis,NA,NA,NA,NA,1,NA,Insectivore,31.6,,
Anf4185,Anura,Microhylidae,Chiasmocleis,Chiasmocleis atlantica,NA,NA,NA,NA,1,NA,Insectivore,31.6,,
Anf1882,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus guttilatus,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf2568,Anura,Hylidae,Pseudacris,Pseudacris clarkii,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf2576,Anura,Hylidae,Pseudacris,Pseudacris nigrita,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf4086,Anura,Microhylidae,Oxydactyla,Oxydactyla stenodactyla,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf4204,Anura,Microhylidae,Chiasmocleis,Chiasmocleis shudikarensis,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf4300,Anura,Microhylidae,Microhyla,Microhyla ornata,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf4356,Anura,Myobatrachidae,Crinia,Crinia signifera,NA,NA,NA,NA,1,NA,Insectivore,32,,
Anf3041,Anura,Hylodidae,Hylodes,Hylodes phyllodes,NA,NA,NA,NA,1,NA,Insectivore,32.2,,
Anf4277,Anura,Microhylidae,Kaloula,Kaloula walteri,NA,NA,NA,NA,1,NA,Insectivore,32.3,,
Anf1912,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus maestrensis,NA,NA,NA,NA,1,NA,Insectivore,32.4,,
Anf4257,Anura,Microhylidae,Calluella,Calluella minuta,NA,NA,NA,NA,1,NA,Insectivore,32.7,,
Anf0411,Anura,Bufonidae,Anaxyrus,Anaxyrus quercicus,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf3643,Anura,Mantellidae,Mantella,Mantella viridis,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4090,Anura,Microhylidae,Pseudocallulops,Pseudocallulops eurydactylus,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4126,Anura,Microhylidae,Anodonthyla,Anodonthyla montana,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4241,Anura,Microhylidae,Kalophrynus,Kalophrynus heterochirus,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4336,Anura,Microhylidae,Scaphiophryne,Scaphiophryne calcarata,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4342,Anura,Myobatrachidae,Arenophryne,Arenophryne rotunda,NA,NA,NA,NA,1,NA,Insectivore,33,,
Anf4218,Anura,Microhylidae,Elachistocleis,Elachistocleis matogrosso,NA,NA,NA,NA,1,NA,Insectivore,33.2,,
Anf1442,Anura,Cycloramphidae,Cycloramphus,Cycloramphus organensis,NA,NA,NA,NA,1,NA,Insectivore,33.3,,
Anf4118,Anura,Microhylidae,Xenorhina,Xenorhina subcrocea,NA,NA,NA,NA,1,NA,Insectivore,33.3,,
Anf1534,Anura,Dendrobatidae,Phyllobates,Phyllobates aurotaenia,NA,NA,NA,NA,1,NA,Insectivore,34,,
Anf3321,Anura,Leiuperidae,Physalaemus,Physalaemus santafecinus,NA,NA,NA,NA,1,NA,Insectivore,34,,
Anf4206,Anura,Microhylidae,Chiasmocleis,Chiasmocleis ventrimaculata,NA,NA,NA,NA,1,NA,Insectivore,34,,
