taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
420827,,,Magallanodon baikashkenke,,,8.34,6.31,First Mesozoic mammal from Chile: the southernmost record of a late Cretaceous Gondwanatherian,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,9.050764377,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
216465,,,Adelodelphys muizoni,,,,,,,,,,4,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
175106,,,Aegialodon dawsoni,,,,,,,,,,2,140.2,136.4,140.2,136.4,Berriasian,Valanginian,,Aegialodon,insectivore,Aegialodon
43786,,,Aenigmadelphys archeri,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
371742,,,Ambolestes zhoui,3.65,An Early Cretaceous eutherian and the placental–marsupial dichotomy,,,,,,,,1,125.45,122.46,125.45,122.46,Barremian,Aptian,scansorial,Eutheria,insectivore,Theria
103955,,,Apistodon exiguus,,,,,,,,,,3,85.8,83.5,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
319843,,,Argaliatherium robustum,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
183890,,,Asiatherium reshetovi,,,,,,,,,,1,83.6,72.1,83.6,72.1,Campanian,,,Metatheria,omnivore,Metatheria
57288,,,Asioryctes nemegtensis,3.76,"Endocranial and Inner Ear Morphology of Vintana Sertichi (Mammalia, Gondwanatheria) from the Late Cretaceous of Madagascar",,,,,,,,4,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Asioryctes,insectivore,Asioryctes
212326,,,Atlasodon monbaroni,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
140934,,,Barberenia allenensis,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
207627,,,Barberenia araujoae,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
44535,,,Bistius bondi,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
207625,,,Brandonia intermedia,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
371002,,,Brasilestes stardusti,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
319845,,,Carinalestes murensis,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
423031,,,Cryoharamiya tarda,,,,,,,,,,1,145,125,145,125,Berriasian,Barremian,,Mammalia,insectivore,Mammaliaformes
346647,,,Culicolestes kielanae,,,,,,,,,,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
363076,,,Durlstodon ensomi,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,scansorial,Eutheria,insectivore,Theria
363074,,,Durlstotherium newmani,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,scansorial,Eutheria,insectivore,Theria
45964,,,Ectocentrocristus foxi,,,,,,,,,,3,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
67563,,,Eomaia scansoria,3.11,The earliest known eutherian mammal,,,,,,,,1,129.4,125,129.4,125,Barremian,,scansorial,Eomaia scansoria,insectivore,Eomaia
67618,,,Ferugliotherium windhauseni,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
204188,,,Gobiotheriodon infinitus,,,,,,,,,,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
160062,,,Hatcheritherium alpha,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
213213,,,Hypomylos micros,,,,,,,,,,1,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
204155,,,Hypomylos phelizoni,,,,,,,,,,1,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
111054,,,Kharmerungulatum vanvaleni,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
113800,,,Kielantherium gobiensis,,,,,,,,,,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
47450,,,Kokopellia juddi,,,,,,,,,,1,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
213210,,,Magnimus ensomi,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
212332,,,Microderson laaroussii,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
213212,,,Minimus richardfoxi,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
213234,,,Murtoilestes abramovi,,,,,,,,,,2,130,113,130,113,Hauterivian,Aptian,scansorial,Eutheria,insectivore,Theria
49720,,,Paleomolops langstoni,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
207615,,,Peramus minor,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
50649,,,Potamotelses aquilensis,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Potamotelses,insectivore,Potamotelses
50931,,,Protalphadon foxi,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
209845,,,Sahnitherium rangapurensis,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
213929,,,Sazlestes tis,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
133917,,,Schadipes crypticus,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
365638,,,Sederipes goddardensis,,,,,,,,,,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
