Group/common name,Class,Subclass,Superorder,Order,Family,Genus,Species,"Lmax (Maximum length, cm)",Troph,MainFood,FeedingType,Fresh,Brack,Saltwater,DepthRangeShallow,DepthRangeDeep
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Halosaurus,johnsonianus,50.00,3.00,,variable,FALSE,FALSE,TRUE,680,2200
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Halosauropsis,macrochir,90.00,3.27,,hunting macrofauna (predator),FALSE,FALSE,TRUE,1100,3300
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Aldrovandia,oleosa,52.00,3.06,,hunting macrofauna (predator),FALSE,FALSE,TRUE,1200,1900
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Halosaurus,ovenii,60.00,3.51,,hunting macrofauna (predator),FALSE,FALSE,TRUE,440,1700
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Aldrovandia,phalacra,50.00,3.17,,variable,FALSE,FALSE,TRUE,500,2300
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Halosauridae,Aldrovandia,rostrata,50.80,3.50,,,FALSE,FALSE,TRUE,2690,5029
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Polyacanthonotus,africanus,50.00,3.23,,hunting macrofauna (predator),FALSE,FALSE,TRUE,700,3000
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Notacanthus,bonaparte,26.00,3.35,,hunting macrofauna (predator),FALSE,FALSE,TRUE,487,2000
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Polyacanthonotus,challengeri,60.00,3.19,zoobenthos,,FALSE,FALSE,TRUE,905,4560
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Notacanthus,chemnitzii,120.00,3.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,125,3230
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Lipogenys,gillii,50.00,3.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,400,2000
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Polyacanthonotus,rissoanus,55.00,3.49,,hunting macrofauna (predator),FALSE,FALSE,TRUE,500,2800
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Albuliformes,Notacanthidae,Notacanthus,sexspinis,60.00,3.03,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,360,1100
,,,,,,,,,,,,,,,,
Relict Bony Fishes,Osteichthyes,Actinopterygii,Chondrostei,Amiiformes,Amiidae,Amia,calva,109.00,3.81,nekton,hunting macrofauna (predator),TRUE,FALSE,FALSE,,
,,,,,,,,,,,,,,,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,anguilla,133.00,3.53,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,0,700
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,australis australis,130.00,4.07,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,0,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,bengalensis bengalensis,120.00,3.59,,,TRUE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,bicolor bicolor,120.00,3.55,,,TRUE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,120.00,4.49,nekton,,TRUE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,japonica,150.00,3.55,,hunting macrofauna (predator),TRUE,TRUE,TRUE,1,400
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,marmorata,200.00,3.67,,,TRUE,TRUE,TRUE,1,400
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,mossambica,150.00,3.30,,hunting macrofauna (predator),TRUE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,nebulosa,121.00,3.75,,hunting macrofauna (predator),TRUE,TRUE,TRUE,3,10
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,obscura,110.00,4.50,nekton,hunting macrofauna (predator),TRUE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,reinhardtii,200.00,3.55,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,0,1
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Anguillidae,Anguilla,rostrata,152.00,3.67,zoobenthos,hunting macrofauna (predator),TRUE,TRUE,TRUE,0,464
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Chlopsidae,Chilorhinus,suensonii,18.00,4.03,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Japonoconger,africanus,42.50,3.87,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,250,650
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Pseudoxenomystax,albescens,100.00,3.52,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,270,800
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Ariosoma,anago,60.00,4.00,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Heteroconger,balteatus,33.10,3.40,,selective plankton feeding,FALSE,FALSE,TRUE,,46
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Heteroconger,canabus,80.00,3.42,,,FALSE,FALSE,TRUE,,20
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gnathophis,cinctus,42.00,4.20,,hunting macrofauna (predator),FALSE,FALSE,TRUE,9,336
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,cinereus,130.00,4.34,nekton,hunting macrofauna (predator),FALSE,TRUE,TRUE,0,80
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,conger,300.00,4.29,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,1171
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Heteroconger,digueti,63.00,3.39,,,FALSE,FALSE,TRUE,230,275
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,esculentus,160.00,4.50,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gorgasia,galzini,53.00,3.30,zooplankton,selective plankton feeding,FALSE,FALSE,TRUE,35,53
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gorgasia,hawaiiensis,72.96,3.40,,selective plankton feeding,FALSE,FALSE,TRUE,17,37
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gorgasia,japonica,100.00,3.40,,,FALSE,FALSE,TRUE,,30
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,japonicus,140.00,3.97,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Heteroconger,klausewitzi,70.00,3.40,,selective plankton feeding,FALSE,FALSE,TRUE,10,30
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Uroconger,lepturus,52.00,3.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,18,760
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Heteroconger,longissimus,51.00,3.07,,variable,FALSE,FALSE,TRUE,10,60
