Order
Condylarthra
Multituberculata
Cimolesta
Leptictida
Macroscelidea
Trituberculata
Miacoidea
Ferae
Acreodi
Panameriungulata
Arctostylopida
Creodonta
Phenacodonta
Taeniodonta
Hyaenodonta
Theriiformes
Dinocerata
