Ref_ID	Full Reference
Ref_47	"Zimmerman, D. A., D. A. Turner, D. J. Pearson, I. Willis, and H. D. Pratt. 1996. Birds of Kenya and northern Tanzania. Princeton University Press Princeton."
Ref_48	"Morris, P. and F. Hawkins. 1998. Birds of Madagascar: a photographic guide. Yale University Press."
Ref_49	"Higgins, P. 2006. Handbook of Australian, New Zealand and Antarctic Birds,(7 volume set). Oxford University Press."
Ref_50	"Sinclair, J. and O. Langrand. 1998. Birds of the Indian Ocean Islands. Struik (Cape Town)."
Ref_51	"Kennedy, R. 2000. A guide to the birds of the Philippines. Oxford University Press, USA."
Ref_52	"Frith, C. and D. Frith. 2004. The bowerbirds: ptilonorhynchidae. Oxford University Press on Demand."
Ref_53	"Keith, S., E. Urban, and C. H. Fry. 1992. The birds of Africa. Volume IV. Academic Press, New York, New York, USA."
Ref_54	"Raffaele, H., J. Wiley, O. Garrido, A. Keith, and J. Raffaele. 2003. Birds of the West Indies. Christopher Helm."
Ref_55	"Perlo, B. V. 2006. Collins Field Guide to the Birds of Mexico and Central America. Harper Collins."
Ref_56	"Fry, C. H., E. K. Urban, and S. Keith. 2000. Birds of Africa, Volume VI. Princeton University Press."
Ref_57	"Alsop, F. 2001. Birds of North America: Life Histories of More than 930 Species. Dorling Kindersley."
Ref_59	"Heather, B. D. and H. A. Robertson. 2000. The field guide to the birds of New Zealand. Viking\ Penguin Books."
